page 1	侵略者之前途
page 2	某軍事專家談豫鄂會戰戰略
page 2	從化街口日軍就殲
page 2	推進地方自治之基本義務二總裁對川省地方行政幹訓班訓詞
page 2	我與多國成立友好條約
page 2	晉東南我軍進展神速高平附近交通被我破壞晉城西南現仍在惡戰中
page 2	于斌主教公開演講美國援華之現階段美人對我認識最清友誼最摯惟美尚未實施禁運不無遺憾
page 2	蕭山偽軍紛紛反正全部為我收編
page 2	皖南日軍犯青陽被擊潰我軍向灣沚等處挺進贛西我軍再度攻南昌
page 2	利物浦僑團通電討汪
page 2	海員黨部電賀捷報
page 2	張善子售畫振難售資　千餘元
page 2	豫南鄂北會戰結果日軍傷亡三分之一泌棗鍾隨等地昨又殲日軍二萬我軍連克沿江據點向武穴挺進
page 3	比國總理報告最近戰情現各路敵軍已被阻截各路友軍能乘時到援
page 3	比國戰局危險關頭已過德軍之攻勢已被阻截比政府並未有意遷都
page 3	海牙德僑暴動被捕
page 3	比王電羅斯福籲請贊助抗戰
page 3	英法嚴防德國天空部隊德國僑民一律被拘禁又嚴防第五縱隊活動
page 3	荷國公主攜兩幼女抵英
page 3	駐比德使　留瑞法邊境
page 3	日軍聯名發表對日軍勸降書皂市日軍官厭戰自殺
page 3	德運輸艦觸中水雷沉沒
page 3	英眾議院通過信任現政府案邱吉爾出席眾院初次演講輿論界對新內閣表示歡迎
page 3	蘇聯勞動報論述抗戰中我國知識階級不屈不撓參加抗戰工作
page 3	墨索里尼巡視意南下令再召後備兵入伍
page 3	荷印地位問題日本無庸憂慮荷國現雖與德開戰海外屬土仍得保持
page 3	聯軍飛機轟炸克虜伯廠
page 3	張伯倫召集樞密院會議
page 3	巴黎兩發警報德機卒未飛到
page 3	瑞典京城施行燈火管制
page 3	日政黨多數反對聯合主張
page 3	越僑向蔣獻旗
page 3	德向荷比進攻愈猛列日一帶展開血戰德機一百零二架被聯軍擊落
page 5	日兵增援固守江門
page 5	北街日艦炮轟棠下
page 5	廣州市南日軍大部撤退各卡口及各碼頭日兵多撤去安美明部偽軍調到河南填防
page 5	日艦蠢動台赤情勢緊張日兵在牛角山登陸我沿岸守軍已嚴防
page 5	肅清四邑煙毒民廳派員督導查禁嚴厲剷除兩縣煙苗
page 5	中山日軍繼續退出
page 5	日艦再度騷擾白蕉
page 5	我機隊夜襲沙角炸燬日空軍電油庫我游擊隊夜襲太平殲殺日軍四十餘名
page 5	省府派許齡筠赴贛省商糧食派定運輸處副處長
page 5	攻克那連經過情形
page 5	我軍一舉克復四塘
page 5	源源撤退
page 5	桂南偽軍一部反正我軍運克重要據點多處邕賓路四塘重入我軍掌握欽邕路東側我軍克復那連瓊崖儋縣我軍夜襲大成之激戰
page 5	南澳日軍撤退我團隊集中伺機反攻嶺東日艦續他駛情勢穩定潮汕線菴埠華美激戰迭起
page 5	司令長官余漢諜出巡粵北前線
page 5	潮汕鐵路
page 5	日派大批女侍入各地充間諜我當局通令嚴防
page 5	禺南我團隊勇襲新造日軍在市新公路截擊日軍車
page 5	粵省府徵求各項技術員工
page 5	瓊崖戰事仍甚劇烈
page 5	粵軍管區頒佈兵役獎勵辦法
page 5	江會戰訊續報我向要塱舊社推進後之炮戰十一二兩日戰事均甚劇烈犯桂日軍敗後回中山整理旋即落運輸艦轉開赴廣州日艦再向蕉騷擾砲轟王家莊
page 6	西江日軍犯三江被擊退廣三團隊衝入小塘
page 6	突起迎擊
page 6	再詳談戰時的蘆苞繁榮的市場堆滿了日貨忠勇民眾屢予日軍重創
page 6	截擊日軍
page 6	桂省限期完成五戶聯保
page 6	健全工商團體組織省黨部訂定進行計劃
page 6	高要工界通電討奸
page 6	江門日偽抽人頭稅
page 6	東江之民食與軍食
page 7	積極推進防空訓練
page 7	實地演習分區舉行
page 7	廣大今晚歡宴英學生服務團
page 7	中國經濟學社決組香港分社
page 7	運輸公司有權發證
page 7	新例實施並無必要
page 7	九龍倉列為禁區後輪船公司亦感不便與碼頭公司商討對策減少新例發生之困難
page 7	陳策代吳鐵城歡宴惠僑代表
page 7	日艦又劫貨船
page 7	嘉樂園所藏宋元明清名瓷展覽爐鼎壺瓶大小四十餘件今日在平山圖書館舉行
page 7	展品名稱
page 7	名窯介紹
page 7	林語堂病已愈謝絕各界應酎
page 7	長沙會戰復映尚未有期
page 7	錢銀找換店被竊大宗金飾
page 7	名馬戲班昨開演
page 7	防空新署開幕後積極推進防空工作飭救護員在各區舉行實地演習商學界紛紛響應組防空訓練班
page 8	希利街一電器店被焚殃及二三樓燒至通頂財物損失逾萬無傷人
page 8	人在夢中火神突降
page 8	各樓住客均獲無恙
page 8	粉嶺保育院下月開幕昨函請胡文虎返港觀禮
page 8	中醫分區贈醫
page 8	五次特別賽馬之第二日熱門馬僅獲勝四場其餘七場均燭出冷門五元搖彩票購者不多
page 8	羲皇台慘殺案續誌趙妾昨晨因傷殞命兇手傷勢甚微日間愈後可提訊趙妻指八十五歲家姑係妾誤殺
page 10	香港足球事業年來甚形發達重要比賽萬人空巷總會盈餘款項頗巨
page 10	昨日學界排球賽高級英皇挫皇仁初級皇仁小童英皇告捷
page 10	九龍學籃劇戰南華挫美爾頓
