page 1	意美態度如何
page 2	晉西我軍攻入黑龍關與日軍發生激烈巷戰
page 2	粵桂振款各撥百萬孫亞夫飛桂省妥定善後辦法
page 2	荷屬東印度頒佈戒嚴法令並頒貨幣安定條例等日表示保證荷印地位
page 2	南寧日軍出擾被擊邕武路日軍向萬墟猛犯
page 2	南僑第二團行抵長沙將赴前方慰問
page 2	孫科演講歐戰問題有蔓延到地中海可能料蘇聯必繼續守中立
page 2	台灣總督閏林即將辭職或由野村大將繼任
page 2	滬日民團發生內訌　
page 2	行走遠東荷輪將復尋常 航期
page 2	英貴族院通過新政府信任案此案由哈里法克斯提出
page 2	我衝入蒲圻痛殲日軍焚燬日軍倉庫日軍損失綦重
page 2	美上議員提議取銷禁貸賴債國條例俾得援助聯軍應付無人道戰爭孤立派議員格拉克等則仍反對
page 2	英新閣員第三批名單
page 2	廣州米荒潮日趨嚴重市民之餓斃者每日達二百人
page 2	內部整飭吏治改進人事行政擬具獎懲計劃分別積極進行
page 2	豫鄂我軍加緊掃蕩棗陽附近日陷重圍襄花路日軍已被我完全切斷唐河泌陽桐柏各縣秩序恢復
page 3	德法坦克車在比展開劇戰德軍擊破比軍第二防線英德兩軍將展開主力戰
page 3	侵荷各德軍向須德海進展德空軍又襲擊鹿達丹城聖德朗荷軍被德軍擊退
page 3	荷政府遷英女皇已抵倫敦在英國繼續執行職務荷外相訪英外相商談
page 3	阿外長提議南北美各國放棄中立地位而代以不對敵之態度但美政府未必肯接納
page 3	政院會議
page 3	學術審議委會繼續會議通過要案多項
page 3	意匈均下令召後備兵入伍意匈此舉法並不重視認為意國非聯軍之敵
page 3	羅斯福決要求國會撥款增厚國防款額或為五萬萬金元
page 3	哥爾特曼昨日逝世無政府主義者從此又弱一人
page 3	美特准比提回所存資金
page 3	歐士勞德軍已有一批返國
page 3	荷蘭南部形勢嚴重聯軍聯絡保護比京比利時中部軍情無重要變化
page 5	我襲古井攻克大嶺
page 5	日軍北犯野心未戢募工修築粵漢路日憲兵部昨佈告在廣州募一千名
page 5	日軍再襲沙堆團隊
page 5	日偽軍再擾馬騮洲
page 5	高鶴沿海安謐日圖犯黃寶坑不逞
page 5	匪偽爭收護沙費火迸偽自衛隊長受傷赴廣州醫治
page 5	日機三次轟炸惠城惠陽河源老隆航行停止
page 5	三次轟炸惠州
page 5	東江電船停航
page 5	澳頭無日登陸
page 5	惠陽平糶賑米先供軍食
page 5	稅收不受影響
page 5	我軍進攻古井攻克大嶺沙堆偽軍反正該處發生激戰日軍再炸馬騮洲輪渡又停航
page 6	竄入黃松岡
page 6	桂省積極復興戰區農村組織糧食交易公店
page 6	廣東全省行政會議經過會期一連五天通過提案七十八件出席人員百餘軍政長官蒞臨致詞
page 6	出席人員
page 6	竄擾兩頭塘
page 6	當局撥款慰勞東江團隊
page 6	韶關發生四十七萬元巨騙案
page 6	佛山日偽內訌日犯良岡被我擊潰
page 6	北江我軍活躍太平場外圍展開激戰二區游擊隊夜襲鴉湖
page 6	韶關籌備歡迎南洋華僑慰勞團
page 6	日偽機關大部破壞
page 6	軍人證明書飭屬從速轉發
page 6	國民大會粵婦女候選人已定將名單呈中央候圈
page 6	南頭海面日艦截擾船艇
page 6	向廣花線鴉湖圍襲
page 6	省幹訓團舉行開學禮誌首期學員千餘人
page 6	策動青運
page 6	主席訓詞
page 6	通過提案
page 6	開會經過
page 6	莞太日偽軍擾犯各鄉搶掠糧食犯兩頭塘之日軍被我擊潰
page 7	放槍百發迫令停航
page 7	亂槍之下四死一傷
page 7	六賊過船肆意搜掠
page 7	六人鳧水幸遇救星
page 7	九龍倉碼頭設行李運輸處並允給棧行特許證
page 7	副主席詞
page 7	主席致詞
page 7	廣州大學員生昨歡宴英學生服務團該團決短期內離港赴貴陽
page 7	中山僑商會籌款興辦義學
page 7	華人代表今日祖餞港督
page 7	有利銀行年報去年獲利二十萬鎊
page 7	荷商船照常航行遠東由同盟國軍艦護航
page 7	三水邑橋匯款回鄉散賑
page 7	獻贈圖畫
page 7	團員答詞
page 7	三門關海面盜賊猖獗騎劫貨艇殺斃四命六人鳧水走避一人中彈受重傷劫去火油數百罐該艇昨始回港
page 8	繼續寫作無心仕途
page 8	美國輿論已告轉變
page 8	美不重視汪偽組織
page 8	林氏著作暢銷美國
page 8	荷印問題關鍵在美
page 8	華南婦女節制分會為工業社籌建私廈已有兩善士捐出地皮尚須籌募建費二萬元
page 8	劉夫人報告
page 8	討論各事項
page 8	西南運輸總處改善回國機工待遇衣食住問題均已解決藥物缺乏望僑胞捐助
page 8	募款建新址
page 8	三榜人被控誤殺疑匪證人述目擊慘案發生經過醫生驗得死者胸脅受重傷
page 8	陳述案情
page 8	胸骨亦折
page 8	多人毆之
page 8	英工程師來港計劃建新水塘
page 8	汛美機昨抵港
page 8	歹徒截劫學童
page 8	醉酒駕車輾斃手車伕案英軍官被罰五百元
page 8	騙廣告費敗露陸某入獄 三月
page 8	有保無險敢誇異軍突起獨樹一幟
page 8	名作家林語堂晤談紀美國已知日本無能對中日戰事輿論已改變荷印問題關鍵全在美國
page 10	本年度棒球聯賽週末揭開序幕港啤與岷甸奴打頭陣聯會昨議決要案多項
page 10	鷓鴣菜牌爭霸戰同義榮獲冠軍紅星力抗敗績
page 10	今夕公開籃球賽甲組鐘聲出戰廣大乙組銀聯白南商分抗晨鐘警察
page 10	昨日學排戰績
