page 1	論日本新黨運動
page 2	日軍十一度犯中條山我民眾不乏忠義事跡騾馬販率村民以鐵鋤石塊殲日老人權致和盡散積穀以賑災民
page 2	美即將大批軍火供給聯軍使用步槍六十萬枝野砲二千餘門並將有飛機驅逐艦交給聯軍
page 2	日機襲渝被我擊落一架
page 2	日軍訓練跳傘部隊張發奎將軍據報已通令各地嚴防
page 2	謠傳滬法租界移交美國管理日對此極為注意美法當局均否認
page 2	邕欽沿線激戰仍烈
page 2	四川打撈藏鏹聞漸有希望
page 2	蘇浙邊境日軍重創
page 2	墨索里尼將作重要表示地中海局面仍極嚴重法向意暗示重開談判
page 2	政視團視察贛省行政
page 2	偽憲兵副隊長紀天壽被刺斃
page 2	陳立夫首途赴陝
page 2	農林部定期成立
page 2	皖南我軍進迫灣沚
page 2	桂臨參會開會
page 2	近衛希望新黨不受軍人把持近衛此種希望無異與虎謀皮
page 2	我向漢口外圍挺進連日進襲斬獲甚多襄水西岸殘日被截無法回竄漢宜路日軍蠢動圖策應解圍
page 2	藏民熱烈擁護抗建國策吳委員長談話
page 2	上海華人工廠仍由日人盤據交回之說當不可靠
page 2	溫應星之弟溫應白被槍擊彈中胸部傷勢嚴重
page 2	加拿大宣布解散多個政黨因有抵觸國防條例
page 2	巴黎區內小學決定一律停閉避免德機轟炸
page 2	粵北我克復花縣城從化以北日軍崩潰我某部向街口挺進與日激戰
page 3	森姆河線戰情劇烈
page 3	聯軍作戰經過良好
page 3	法機飛德分頭轟炸
page 3	德軍將分兩路前進
page 3	英國空軍轟炸德國
page 3	英醫字船九艘被德飛機轟炸
page 3	美西半球政策宣言重申門羅主義西半球無論任何區域主權如有改變美國決不能承認
page 3	德機襲擊英倫東岸
page 3	納粹黨間諜在烏拉圭大肆活動納粹黨人急欲侵略烏拉圭以攫取歐洲主要糧食來源
page 3	軍事委員會發表一週戰況五月二十六日至六月一日
page 3	加拿大收容英法難童
page 3	法報主張勝利第一
page 3	加強戰時能力法內閣再改組雷諾兼任國防外交兩職財長一職以波特拉充任
page 3	德瑞空軍發生劇戰
page 3	羅馬教皇再勸意相維持中立地位
page 3	豫鄂
page 3	湘贛
page 3	粵桂
page 3	法總統答書英皇表示兩國團結
page 3	聯軍資源極為豐富
page 3	立總理訪莫斯科此行必有重大意義
page 3	挪北聯軍進展十里
page 3	愛爾蘭國會通過國防軍擴充案
page 3	美國會通過防間諜經費案嚴防第五縱隊
page 3	德軍猛攻魏剛陣線作戰範圍逐漸擴大聯軍飛機大舉轟炸德軍後方各線聯軍現仍堅守原有陣地
page 5	古井係於三日克復
page 5	鍾高報告作戰經過
page 5	江會搖動日增兵忙
page 5	粵省對外貿易空前出超原因日　排除第三國權益封鎖沿海我對不必要貨物進口加限制
page 5	廣州西村站以北特別戒嚴不准行人來往彩虹橋日兵種種苛擾新嫁娘亦要下轎受檢終日有人跪橋邊受罰
page 5	貨船勇戰偽軍在鰲魚沙脫險逃出小托
page 5	南浦河面日漁船殺偽兵
page 5	梧參議會請省府調整桂省米食
page 5	東北兩江日軍事失利東北兩指揮均被譴責掃蕩總隊長亦撤職
page 5	小學教員待遇規程
page 5	教育部頒發小學教員待遇規程粵省府轉飭遵辦
page 5	桂南日軍頻頻調動粵桂邊區苦戰我軍展開攻勢日機轟炸遂溪梅菉陽江等地十萬大山我軍躍居主動地位
page 5	日機轟炸高雷各地
page 5	反攻那蒙戰情劇烈
page 5	我控制十萬山交通
page 5	襲擊吳村近郊日營
page 5	古井日偽三日午已完全肅清江會日偽亦震動增到援兵二千餘鍾高兩部代表談作戰經過依種觀測日軍暫難報復
page 6	日派大批輪船赴市西沿岸搜埋藏銅鐵在羅涌圍撈獲步槍及機槍又在較杯石河面撈獲鐵板
page 6	粵北我軍克花縣後挺進兩龍良口附近殘日被殲六日大致肅清我軍續克鳳院官村圍攻街口神崗
page 6	花縣劇戰日軍慘敗
page 6	良口西側殘日全殲
page 6	我克鳳院圍攻街口
page 6	東江我軍攻克下南並在腐竹山擊潰日軍河水漲中漢奸私運深圳防空濠洞之建築
page 6	衝入下南
page 6	握腐竹山
page 6	河水高漲
page 6	深圳方面
page 6	中學畢業生定期舉行考試
page 6	張炎縱談南路近情並談做官的哲學
page 7	禁止人民擅自離境
page 7	現金出口限制極嚴
page 7	學賑會重新分配職員極力撙節經費
page 7	中山商會電賀袁帶就職
page 7	留營難民續增較前週增二百餘人
page 7	美歌女偷渡來港被拘美僑捐資遺送回國
page 7	小販義賣
page 7	小販義賣運動可望推至新界振聯推進賣花運動定期招待商學兩界
page 7	成績必佳
page 7	學界捐粽勞軍
page 7	寮屋拆卸後數百貧民露宿
page 7	塌屋壓斃少女
page 7	難民工業社由婦女會收回自辦昨選出郭琳弼夫人為社長發動會員為兒保院捐用品
page 7	捐金購債彙誌
page 7	荷印限制人民離境我僑胞仍可自由出入但攜帶現金出口限制極嚴成年人亦祇准攜帶五百盾
page 8	教聯會匯二萬餘元
page 8	友邦人士慷慨捐輸
page 8	車輛失事統計去週死五人傷二十九人
page 8	陳大年馮康侯對編印粵民族英雄集之商榷致廣東叢書編印委員會一封公開信
page 8	航行禁區須領通過證由本月六日起實行
page 8	截劫女學生案被告詳臬定讞
page 8	警探又破獲偽幣機關搜出偽紙幣千餘元疑犯兩人詳臬定讞
page 8	汽車失事索償損失費案押候今晨十時再審
page 8	港政府決定加負戰費電英殖民部大臣請示意見
page 8	最大危險
page 8	撞於山側
page 8	則誠幸運
page 8	歹徒假冒幫辦行騙警司昨通令緝拿究辦
page 8	灣仔道賭案昨提審英警目之妻被控開賭
page 8	傷兵之友徵募運動本港約獲四十萬元教聯會首批二萬餘元已匯總社紅磡方面已結束共獲款萬餘元
page 10	討論事項
page 10	報告事項
page 10	公開男子籃球賽各隊最近形勢
page 10	傑志會球隊本星期日征澳
page 10	華人泳會動態
page 10	夏令籃球賽今日開始報名傅秉常馬心嘉報效獎品
page 10	中華體育協進會昨開執委會議關於新會入會問題發生劇辯押候一星期內俟調查後再議
