page 1	日本謀組新黨之作用
page 2	我政府代言人又闢和平之謠倘日軍不退出中國境決無和平談判之可言
page 2	晉東南我軍圍攻蔭城得手一度衝入鎮內與日巷戰
page 2	贛北我軍進襲武寧
page 2	近衛能做些什麼一
page 2	一日本將有政治變動
page 2	滬四郊旱象已成禾苗下種困難農民均有憂色
page 2	日機昨晨圖襲行都天氣惡劣未逞
page 2	豫南我軍截斷平漢南段一部直撲應山城郊
page 2	滬日使館否認接收租界但仍考慮武力奪取
page 2	吳鼎昌夫人舉辦婦女文學獎金
page 2	慰勞團二分團由建甌抵南平各界代表列隊歡迎
page 2	皖南我軍進襲宜興
page 2	粵北我軍迭克黑山街口乘勝向新街挺進中從化日軍損失甚重
page 2	湘教廳補助貧寒學生名額三三三名每名助六十元
page 2	中央撥款協助各地醫院醫治被空襲受傷軍民
page 2	湘各界慰勞榮譽軍人
page 2	功不自居歸美部屬傅作義謙辭接受勳章蔣委長覆電嘉勉令毋再謙辭
page 2	鄂中日軍冒險西犯我已完成包圍戰略日軍與我即將展開主力戰鬥
page 3	意大利假加參戰二
page 3	美禁運機器出口令下週發生效力波盛將軍極力主張盡量供給聯軍武器
page 3	準備應變
page 3	羅國石油產量減少
page 3	英經濟部長演說加緊封鎖制德死命務使希特勒窒息而死
page 3	萊翁勃郎謁見雷諾表示希望政府召開國會會議
page 3	英帝航機不再經過意國意經濟部長抨擊聯軍封鎖政策向墨索里尼提出第二次之報告
page 3	德機又襲英倫海岸
page 3	巴黎當局疏散校童
page 3	法參議院議員耶維勒德被俘
page 3	意大利的海軍
page 3	意大利的地理和戰略
page 3	德軍傾其一切力量昨晨開始全線總攻戰線西迄海岸東至門德蔑地魏剛下令戰鬥人員不得稍退
page 5	我迫江門僅離五里
page 5	江佛新開兩路戰況
page 5	石岐日軍輜重續撤
page 5	我空軍炸容奇日艦日驅逐艦天龍號中彈受傷
page 5	省主席嘉獎琶江抗日有功民眾
page 5	桂精神動員會請切實檢舉貪污將貪污者所得財產沒收切實推進節約汽油運動
page 5	中央社會部舉辦工作人員訓練
page 5	大良日軍大捕小童託詞送廣州強迫入校但被拘各童拒絕探問
page 5	三埠輸船復航
page 5	肇慶限制售購米石警察所佈告辦法
page 5	日艦遇風擱淺日兵數名均遭沒頂
page 5	太平日軍五十餘人
page 5	日機轟炸高雷各地後日艦砲轟陽電沿岸情勢益緊我軍衝入那間猛攻石埠欽縣義民紛紛逃出虎口
page 5	日艦砲轟各地情形
page 5	我克十二壇迫大塘
page 5	羅翼群已兼程南返
page 5	榮譽軍人待遇改善辦法
page 5	粵加緊施行對日經濟封鎖
page 5	地方民眾嘗產基金移作節約儲金
page 5	江會戰事劇烈新鶴路我軍進至離江門五里江佛新開兩路戰事亦劇烈石岐日軍輜重亦繼續撤退日商貨物亦紛紛搬回廣州
page 6	從化街口爭奪激烈
page 6	我克羅洞炮擊神岡
page 6	花縣新街戰事均烈
page 6	韶關的糧食概談
page 6	徵接新兵禁止苛擾民間
page 6	中振會在粵舉辦小工業貸款續詳本月一日開始登記
page 6	李主席漢魂訓勉各縣縣長
page 6	改善警政保障警官辦法
page 6	粵省設置兵役監督委會
page 6	東江各地米價復漲
page 6	廣州外圍戰事激烈我克羅錦洞攻新街我炮轟神岡從化街口之激戰日軍在鳳院慘敗聯隊長陣亡我流動部隊襲擊太和市奏捷
page 7	假想敵機衝入市空中環三地點中巨彈永樂街及　士街死傷十餘人砵甸乍街全街被焚多人中毒救護員落力表演情景逼真
page 7	在永樂街投下兩彈
page 7	中毒彈受傷者四人
page 7	砵甸乍街全街被焚
page 7	防空部改作救傷站
page 7	三次演習下月舉行
page 7	英國屬地發行戰時公債港西人輿論表示贊同
page 7	中山濟難會撥二萬元救濟留澳中山難民闔澳散賑會今日結束
page 7	對官立醫院贈醫新例九龍居民協會極不滿決去函醫務當局提出質問
page 7	藥行提早收市由今日起實行
page 7	孫寒冰追悼會在積極籌備中
page 7	婦慰會募捐訊
page 7	玉蜀黍疹起源司徒永覺之談話
page 7	昨晨防空演習
page 8	端陽節至
page 8	雞鴨魚菜乘時漲價廣州灣安南仍有雞鴨運港
page 8	鹹淡水魚
page 8	蔬菜來源
page 8	雞鴨行情
page 8	呂氏宗親聯誼會昨日正式成立
page 8	賊劫漁船槍殺蛋女警探捕獲三人控案
page 8	佛頭門與汲水門
page 8	竊電油匪被捕
page 8	難民自助社社長談籌款建築社址計劃先籌款萬元建屋一層游藝會定十五日開幕
page 8	少年旅客服毒
page 8	關山月將回國舉行抗戰畫展
page 8	五個海賊圖劫貨艇水警輪嚇退賊黨
page 8	大批鮮魚到港
page 8	孔教學院講學盧袞裳講詩經
page 8	南頭農產豐收菜蔬源源運港
page 8	薪俸所得稅繳納期限展廷三月三個月後仍不繳納始行追究因事屬創舉使市民有所準備
page 10	改進川省柑產四川農大在試驗中
page 10	昨日棒球劇戰中華不敵水兵岷甸奴僅勝一分港啤輕取香港會
page 10	今日端午佳節兩泳場舉行龍舟競賽加插游藝助慶歡迎參觀
page 10	鐘聲
page 10	東方
page 10	夏令籃球賽昨已開始報名
page 10	九龍高級學籃賽今有兩場角逐
