page 1	襄西之戰
page 2	日機襲渝被我擊落四架平民死傷十餘人
page 2	意大利假如參戰三
page 2	再犯雞籠岡日軍被我包圍殲滅我乘勝克復黑山鳳院
page 2	西北醫學院被日炸毀
page 2	贛北我軍大舉圍攻武寧進迫靖安衝入宋埠街一部進抵萬壽宮附近
page 2	交部備獎金獎勵自製電料
page 2	羅斯福警告墨索里尼傳意將於昨日宣佈參戰意擬與法單獨訂立和約
page 2	法最高軍政領袖舉行重要會議英大使金貝爾亦參加
page 2	星洲立法院通過強迫兵役法案此案初步適用英人
page 2	肇慶舉行討逆鋤奸大會
page 2	襄河西岸我處優勢荊門以西全線激戰漢宜路激戰日軍死傷慘重
page 3	近衛能做些什麼二
page 3	勿參歐戰以免日本更得勢
page 3	濟南日傷兵突增二千
page 3	聯軍放棄挪威克挪威戰事結束挪王及太子早已離境挪政府同意德挪停戰
page 3	聯軍飛機炸擊德軍陣地許多德坦克車被擊毀並極力破壞其交通線
page 3	美名流主張立即向德宣戰援助聯軍委會代表團赴白宮向羅總統請求積極援助聯軍
page 3	美議員溫丹保主張與日重訂商約若干上議院議員亦同情但日須即停止對華作戰
page 3	五日情的變化
page 3	六新政策又是什麼
page 3	德軍軍沿塞納河前進距巴黎僅三十四里但法軍仍能採取主動戰略德軍若戰多日精神已疲憊
page 5	江會近郊劇戰情況
page 5	日軍又向偽軍繳械
page 5	日軍再擾古井孖洲
page 5	我軍擒獲大幫偽軍
page 5	日機連日轟炸各地
page 5	某軍事機關所得情報東增日偽最近動態偽軍乘機搶掠妓寨莞城偽軍突被繳械
page 5	台赤兩陽日艦活動企圖再在牛角山登陸但不逞潦水略漲四邑內河日艦出沒
page 5	俟機進犯模樣
page 5	臨時指揮機關
page 5	聯合向其艇迎擊
page 5	廣州偽江防司令已成立空殼
page 5	軍官大隊擴大組織
page 5	受傷日兵陸續運抵廣州烏龍崗洋樓改為軍醫院
page 5	收復公容續攻東匡
page 5	粵桂邊區戰事繼續展開我收復公容在東匡混戰蒲廟東靈亦展開血戰慘烈異常邕寧日軍紛紛南開圖保欽邕線
page 5	邕江南寧展開血戰
page 5	欽縣城內暗無天日
page 5	梧市舉行蓄儲運動
page 5	荳油等物品嚴禁出口
page 5	桂南農民組偷槍隊
page 5	內地攜郵票出口只限百元
page 5	台山改組財政機構財委會及糧調會均改組從新選定委員大加調整
page 5	各縣鄉農會組合作社
page 5	英德民眾捐米勞軍
page 5	粵省各縣加緊防疫注射
page 5	江會戰情更為劇烈我軍逼近江門會城郊外有劇戰日軍再擾古井孖洲登陸被我擊退日機連日狂炸古井沙堆梅閣等鄉偽軍不為日軍信任多數已被繳械
page 6	從化日軍三路反撲
page 6	廣從線已成拉鋸戰
page 6	清理戰場獲日軍官
page 6	花縣我軍攻入蓮塘
page 6	廣州市之流動式戒嚴市民遭遇戒嚴之露宿狼狽四日內發生攔途劫案五宗匪徒均以檢查為名隨處截搶
page 6	盜匪偵緝混為一起
page 6	困在路上不能歸家
page 6	截劫之事時有發生
page 6	實施兵役總抽簽嚴防逃走
page 6	韶關當局趕築平民住宅
page 6	桂省黎塘合作站之驚人成績努力動員二萬名民伕輸送百五十萬斤軍米
page 6	國防最高委會通令儘量採購國貨
page 6	王若周呈請辭游擊副主任
page 6	粵北日軍尚圖掙扎三路反撲雞籠崗之劇戰企圖包圍從化東北我軍卒被痛殲我主力轉進廣從線攻入神崗近郊花縣日犯平山被殲我軍攻入蓮塘
page 7	訓令各屬土政府集中力量應付歐戰須竭力減少人力物力消耗盡量提高供給英廷之限度
page 7	延安教育
page 7	每次空襲
page 7	來華服務
page 7	中國民眾
page 7	印度來華服務團長讚我抗戰精神重慶人民不畏空襲日不能以狂炸取勝
page 7	戰爭意義
page 7	日本俘虜
page 7	小販工商會議決擴大義賣範圍期間定五天或七天收入全數呈獻中央
page 7	運輸輔助團非常時期仍在港服務將調往他處之說不足信警察當局昨日正式聲明
page 7	廣州大學畢業學生聯歡
page 7	住客聯會決增設體育部第三義學已定期開課
page 7	英殖民部大臣
page 8	婦女節制會王辦之初夏游藝會週末開幕南華大學等擔任游藝表演賣物部已募得貨品數千件
page 8	嬰兒哺飼法
page 8	兩商人被控違背買船合約須償損失費　二千餘元
page 8	日艦又劫貨艇艇貨共值八千餘元
page 8	節建儲券積極推銷教會團體定期開始勸銷
page 8	華僑中學昨追悼孫寒冰
page 8	防空總監公布二次白畫演習成績救護員均能盡力堪稱滿意雖工作微有錯誤不難糾正
page 8	英商輪遇浮雷船上俄警設法毀滅
page 8	澳門馬票揭曉首名一零五八七號得獎一萬一千餘元
page 8	印人侮辱少女法庭判罰百金
page 8	西人被控行騙
page 8	兩賊詭稱延醫接生賺門入屋劫女醫師掠金頸鍊一條港幣一十九元事主擊破窗門呼救賊始遁去
page 10	香港足球總會昨日舉行月會球證增加費用未獲通過星島行將南遊請求備案
page 10	增加球證費用問題
page 10	撥一千元與英賑會
page 10	星島請准　隊南遊
page 10	公開夏令籃球比賽章程修正公佈增設報名處于九龍青年會
page 10	星島球員名單宣讀
page 10	兩泳場舉行龍舟競渡盛誌
page 10	傑志征澳戰績
