page 1	論戰時經濟政策
page 2	豫東偽軍作有計劃反正參加豫東大掃蕩戰迭克柘城鹿邑等縣
page 2	湘省擬定施政綱要
page 2	滬各社團電蔣總裁致敬
page 2	抗戰三週紀念日滬租界大戒嚴美軍防區發生小事變
page 2	粵各界紀念七七
page 2	黃旭初發表告全省民眾書
page 2	勉全體將士完成抗戰全功委座述張將軍事蹟勇敢善戰智慮深沉世所罕匹淝　臨沂徐州隨棗無役不先
page 2	抗戰建國三週年各地舉行紀念
page 2	委座電謝國際反侵略會
page 2	英倫南海岸擊落敵機一架
page 2	美報評論澳洲新西蘭地位重要將或甚於荷印及菲律濱
page 2	褒獎忠貞
page 2	貝當政府玩把戲
page 2	北菲法軍官仍多主張抗德
page 2	皖西我軍攻迫宿松晉西各路乘勝追擊鄂東我軍衝入黃坡巷戰激烈
page 3	美海軍大將多昔談菲有被侵危險荷印為侵略者所垂涎美難免捲入遠東戰潮
page 3	中央國府聯合紀念七七林主席出席演講
page 3	挪威醞釀組新政府
page 3	波總統訪挪國王
page 3	貝當政府修改憲法
page 3	越南許允日郵運機在河內停留轉往檳角日將派郵運機前往試航
page 3	英蘇美三國成一勢力集團反抗德日兩國獨霸歐亞
page 3	蘇在羅新邊界進行測量工作或在布律斯河東岸建炮壘干士坦薩港已成為一死市
page 3	聚利亞人心惶惑難測將來局面變化
page 3	羅斯福發表意見強調門羅主義倘將來來德若獲得勝利亦勿覬覦西半球屬土
page 3	英最近向美定大批軍用品
page 3	德製造謠言挑撥土蘇惡感土各報極力反駁斥破納粹黨陰謀
page 3	貝當政府以法律手續控告慕些里爾謂其率領一部法海空軍受僱英國違抗政府命令
page 3	國府明令褒獎忠貞生平事蹟存備宣付國史館
page 3	日懼美國禁軍用品出口工商界對此極為關切
page 3	各軍校畢業生電慰前線同學
page 3	亞力山得里亞法艦實行復員經過順利美派五驅逐艦赴西印度群島調查該處英法海軍最近情形
page 5	彭部充實中新邊防
page 5	日艦圖犯橫江不逞
