page 1	美遠東政策不變
page 2	英軍或調香港星洲
page 2	美陸戰隊仍留上海
page 2	美上議院辯論徵兵法案民主黨薛柏氏慷慨陳詞謂應付獨裁者不能退讓
page 2	高一涵談巡視兩湖印象鄂省政治突飛猛進埋頭苦幹令人興奮
page 2	紅河暴漲越境堤防潰決河內與鎮　關
page 2	菲律濱國民會議通過奎松總統緊急權力案使奎松有絕對大權得以應付非常局面
page 2	直布羅陀又復疏散
page 2	英議員威士頓獻金十萬鎊建造飛機十架
page 2	鄂西殘日在聚殲中
page 2	晉南我襲攻永濟斃日軍二百餘高平關附近發生激戰
page 2	貝諾斯抵英倫檢閱捷克軍隊
page 2	豫北我軍活躍淇　日軍遭我伏擊
page 2	南寧日軍北竄受創
page 2	日另選人員出任拓相
page 2	羅斯福派哥姆里少將赴倫敦任特別考察員準備攷察德攻英倫新戰術
page 2	皖革命先進方壁遇遇害旅川皖同鄉請政府褒揚
page 2	八一四空軍節渝市籌備熱烈紀念
page 2	羅保兩國成立初步協定羅願將加德里拉他爾區三分二土地割讓於德國
page 2	增強遠東他處軍力
page 2	滬各國駐軍司令官將會商英防區問題美遠東政策絕不受此影響英防區或由美軍白俄接管
page 3	屬新　布里底　島法廳督通電擁護抗戰該地在經濟上亦居重慶地位
page 3	趙守鈺赴青
page 3	北非英軍準備死守貝比拉北非英空軍大活動德空軍加緊襲英倫
page 3	丹麥與格蘭陵交通斷絕格陵蘭派代表赴美商議糧食接濟辦法
page 3	美本年財政年度入不敷出約三十一萬萬金圓
page 3	英國商務局發表第九次敵國商行名單共列出商行一千八百家在中國有一百二十二家
page 3	訪華美學生代表抵渝柏克柯談日本原料極感枯竭
page 3	日計劃徵收市民稅不論階級地位均須一律照繳
page 3	顏露爾贊成潘興提議賣舊艦於英國
page 3	加拿大取銷法國麥糧定單
page 3	阿根廷驅逐納粹領袖
page 3	溫州一帶日軍將封鎖線伸展
page 3	駐比美大使發表袒談話為美政府召之返國
page 3	土禁公務員與外人通婚
page 3	西將三文　袋交回於法政府一則存有重要文件其餘充滿金條寶石
page 3	德與羅國簽一麥糧協定由羅供麥糧若干於德
page 3	不獨在美為然
page 3	避重就輕
page 3	日外次勸市民靜鎮從事
page 3	租界巡捕房有權檢查華文報紙維持租界內安全
page 3	日機襲渝被我擊退襲擊海豐日機被我擊落一架
page 3	英美海上運輸線保持密切聯絡有千餘艘船由美運械返英英向美所定購飛機逾萬架
page 3	德空軍繼續向英倫襲擊
page 3	北非英空軍連日大活動
page 3	越南問題日法尚在談判中傳法政府將向日屈服我已作救援越南準備
page 5	由大崗進犯
page 5	我援軍趕至
page 5	粵幣國幣新定比率省當局已呈請中央覆核粵省民眾渴望早日實現實行後粵毫券較前提高
page 5	且節節反攻
page 5	忽退集沿海
page 5	注重生產
page 5	桂林破獲私運銅元機關搜出子彈殼銅磚多種桂省府防止銅元輸出
page 5	日分兩路犯古井被殲一部雜軍渡河被擊即向我投誠斗門無戰事　涌圍口被日佔據
page 5	桂南日軍動態
page 5	順德我團隊充分活躍容奇日軍忽然戒嚴墟頭繁盛街道住宅均被搜查
page 5	中委會犒嘗隊犒賞西江將士駐軍助農民收割
page 5	洴涌圍口被日佔據
page 5	斗門一帶尚無戰事
page 5	日犯古井被殲甚眾
page 5	禺南日軍擾員岡沙被擊
page 5	南侵日海軍統帥部派參謀長飛赴海南侵入海南各處之日艦調查
page 5	秋耕運動
page 5	優良稻種
page 5	四邑人民近已注重農產改良稻種與秋耕運動大窿洞附近荒地之開墾
page 5	欽邕路以東頻有激戰我日兩軍爭奪　城牛崗兩地失守多次旋即克復日軍萬餘退集欽防沿海
page 6	木棉劇戰日軍敗潰
page 6	粵路我軍夾攻郭塘
page 6	呂春　之雜軍與郎擎天雜軍火迸後日軍將該兩部改編昨有數百開到寶安
page 6	日擾雙鳳　被擊退
page 6	改良警察素質巡迴訓練各懸長警粵民政廳定期實施
page 6	積極推進貯蓄運動粵省籌設勸蓄分會財部豁免儲金利息所得稅
page 6	肇市酒家復業
page 6	陽江團隊襲南鵬島什軍被殲過半損失重大日艦艇擾東平澳被擊退
page 6	我方力求自給自足
page 6	廣州灣商人將赴越南請願我對租界已實施反封鎖內地物價低落與租界適成為反比例我當局計劃墾荒貸款以期自力更生
page 6	禁止豬牛土產出口
page 6	內地物價陸續回跌
page 6	從華本岸日軍敗挫粵路我夾攻郭塘之劇戰犯木棉日潰退我再猛攻龜嘴遭炮轟日擾雙鳳山被擊
page 7	大坑一廠規模最大
page 7	掩人子目採用暗碼
page 7	港府仍准英婦孺入境某郵船載來二十餘人
page 7	利威行劫殺案兇犯不免一死會審庭認臬司判處得宜李雄魁上訴案已被駁回
page 7	小型商店多做帶家
page 7	普益商會策動會員獻金九龍商會今日開會決定會員獻金辦法
page 7	孖剌西報突接恐嚇函件警告不得再登載反日文字該隊聲明對此事絕不重視
page 7	中美文協會港會解體邇來會員離港者甚多會議每不足法定人數
page 7	去月南渡人數一千八百餘名
page 7	清貧學生求助旅費登記昨日截止共一零五人
page 7	本港賭風日熾字花廠竟遍佈各區利用小商店為帶家掩警探耳目婦女多受其害望當局嚴加緝捕
page 8	對日南進政策荷領發表談話日與荷印商務關係絕未見有若何改進
page 8	日與荷印商業關係
page 8	去年雙方貿易統計
page 8	蘇芹蓀演講英國人的傳統思想續英國情報部遠東局播
page 8	正心茶樓茶客跳樓慘死
page 8	珍廬書展盛況張之英桂南屏揮毫助興
page 8	基督教團體努力促進節建儲運現成績將達四十萬元八一三第二期結算
page 8	福建商會昨追悼杜四端
page 8	魚欄營業近況僅及昔年五分之一
page 8	英國當局重視港星防務華北英軍南來駐防
page 8	港越貨運冷落
page 8	砲兵定期演習
page 8	小童被斫重傷甘姑受嫌被捕
page 8	衛生局之議案
page 8	本港中區今日舉行防空演習崗　七十餘隊員數百人參加防空總監等親自視察及指導
page 10	昨日棒球爭霸戰雙方均無紀錄賽至七局尾時因雨中止做成第四次之岷港大戰
page 10	水　健兒大動員昨日游泳對抗港大勝華人會兩分東方鐘聲齊破西青域多利壓倒勵進團
page 10	港大壓倒華人
page 10	義賽今日揭開戰幕美艦聯隊對港選手
page 10	四屆德權鼎聯賽今日揭幕
