page 1	經濟與匯率
page 2	八一三紀念將屆滬租界戒備嚴日憲兵在法租界內搜查工部局派員赴各報監印
page 2	日機犯贛竄至鷹潭弋陽投彈
page 2	蘇北日軍數度受創
page 2	德與瑞士簽訂商約
page 2	軍委會發表一週戰況八月四日至十日
page 2	衡陽仁濟醫字被日機投兩彈
page 2	陝省推　禁政積極禁絕菸毒
page 2	意經濟代表團抵匈談判
page 2	蔣委員長獎勵川農業改進所
page 2	組租界　稅會
page 2	湘省府獎勵忠勇將士
page 2	依凡諾夫繼任俄僑會長　認會得偽方同意
page 2	平抑紗布售價經濟部的新辦法
page 2	川教廳訂優待教員辦法
page 2	縮短防線
page 2	非常時期管理銀行暫行辦法已於八月七日經財部公佈施行
page 2	英國撤退津滬駐軍美方認係強硬表示北平英駐軍準備一週內撤退滬英美日三軍官作重要晤談
page 3	胡佛向英提議救濟歐陸饑荒由美私人慈善團體負責英國朝野對此表示懷疑
page 3	美富翁冷沙氏助英二萬金元充戰時之救濟金
page 3	美組織援助聯軍委會
page 3	日宣佈擴大封鎖閩浙海岸包括杭州灣溫州福州等處將於本月十四日發生效力
page 3	巴黎金融交易所宣佈停業
page 3	南輪拉達號被德潛艇擊沉
page 3	適合川康邊區民情司法院將訂特別法規又擬設西康司法人員養成所
page 3	毛羽豐被狙斃命
page 3	松岡又發表陳腔濫調
page 3	日機襲嘉陵江災區甚廣
page 3	徵募寒衣代金標準定為一千萬元定本月十五日開始
page 3	統一甲券還本抽籤
page 3	滬綁票案層見迭出
page 3	意內閣開會詩集戰爭方案已決定施行新步驟保障國內肉食供給
page 3	羅斯福到波士頓等地視察國防建設視察樸茅斯及波士頓兩地海塢又到華打頓鎮附近視察製炮廠
page 3	維克斯公司的威靈頓機的構造
page 3	美海軍專家認為德侵英倫必失敗英倫海岸又擊落德機五架
page 5	日軍又擾中山八區
page 5	日軍圖擾寶安沙灣與我軍遭遇將彼擊潰
page 5	　魚沙外發生激戰
page 5	廣州南郊自警團隊長被割耳
page 5	斗門形勢仍係緊張
page 5	始興縣民踴躍當兵　話
page 5	陳村成盜匪世界匪黨深夜劫酒米店
page 5	惠陽發現日艦殘骸
page 5	日機狂炸海豐汕尾
page 5	粵東沿海日艦驟增
page 5	東路沿海日艦驟增日機又狂炸海豐汕尾投彈十餘毀艇廿餘死傷數十日艦十五艘加緊封鎖我沿海惠陽海外發現被毀日艦
page 5	三水日軍最近患病者多
page 5	南海金溪團隊計殲日軍
page 5	綏署通令保護落伍軍人武器不准沒收私賣
page 5	北江蟲禍續聞
page 5	第三區行政專員設站護送歸國港僑近訊
page 5	韶關區征遺產稅近聞遺產評價委會即將成立
page 5	日派聯絡員監視各雜軍中山八區又有日雜軍進犯　魚沙口外昨發生激戰
page 6	金利我軍擊沉日艇
page 6	日機轟炸肇慶封鎖
page 6	東莞民眾在廣虎路痛殲日軍
page 6	廣東省府發動全省公耕造產各機關團體文到十日內開始不得隨便行事嚴定獎懲辦法
page 6	我團隊襲陳村
page 6	限制淪區貨物輸入粵北江烏石劃為封鎖站
page 6	新任順德縣長已在鶴山接事
page 6	所有收益
page 6	予以獎勵
page 6	得免地稅
page 6	不得隨意
page 6	公耕造產
page 6	日機飛擾西江圖破壞我方封鎖線日汽艇四艘擾金利海口被擊沉兩艘傷斃十餘人
page 7	二百僑團共同紀念
page 7	華商總會設義捐箱
page 7	義賣籌委經已選出
page 7	學賑濟會參加擦鞋
page 7	華人泳會設獻金台
page 7	國際教育界踴躍援助我國學生兩年以來美國捐款最多
page 7	經亨利退休繼任人選未定
page 7	四大公司設獻金箱
page 7	大埔　隧道山泥繼續傾卸
page 7	本港雨量達百英吋
page 7	婦女失業者眾係受時局影響
page 7	警探破獲賭局捕疑犯十三人
page 7	港政府取銷珠江航運協定昨已照會廣州日當局佛山輪事件在談判中
page 7	菜蔬到港仍少
page 7	美運輸艦抵港
page 7	當局籌搭棚寮收容邊境難民
page 7	舞星歌姬售紀念花
page 7	大學生聯誼會紀念
page 7	小販義賣一連三天
page 7	客棧行商撥佣獻金
page 7	今年八一三紀念僑胞獻金成績必佳華商總會華人游泳會均設獻金箱學校僑團在普慶戲院開紀念大會
page 8	檢閱課目
page 8	成績良好
page 8	報酬問題
page 8	惠陽水災慘重旅　邑　募款賑
page 8	今年雨水充足霍亂疫症無形消滅港府購備大批防疫劑現貯存藥倉並未動用
page 8	日軍圖擾沙灣
page 8	本港柴價略跌運輸較便載腳低減
page 8	現存柴薪足　月用
page 8	西南聯大招轉學借讀生報名日期定月底截止
page 8	華強中學大擴充
page 8	新界警探搜捕盜匪在流浮山獲疑犯十餘人
page 8	船隻增多倡腳低減
page 8	日籍婦孺離港日僑所住樓宇多已退租港府考慮英人請願稟章
page 8	築防空壕
page 8	防空當局昨晨舉行中區防空隊員總檢閱參加者百餘人成績良好灣仔防空壕已興工建築
page 10	棒球義演第一幕聯賽選手敗陣美艦聯以六比二勝仗
page 10	記者公會積極籌備紀念者節第二屆水運大會同日舉行
page 10	水國動態南華明晚三次水藝
page 10	四屆德權鼎聯賽昨日揭開序幕榮發果菜奏凱洋務　華敗績
