page 1	歐戰一週年
page 2	德欲征服英倫可能性極少格連活演講歐戰前途最後勝利必屬諸英國
page 2	荷蘭女皇六十初度女皇鑑於國難時期不願鋪張儀節簡單
page 2	侯縣長　有功獲獎一等獎章
page 2	粵驛運管理處今日成立
page 2	空軍雜誌九月一日出版
page 2	專科以上學校教員服務十年以上者受獎第一批名單卅五人公布
page 2	川駐軍團隊協助割禾
page 2	對渝被炸一個感想潘文華抵渝發表談話全市繁華竟付一炬實為痛心惟愈炸愈強精神實不可毀滅
page 2	歐陽格判處死刑不聽指揮棄職避戰假造單據侵吞校款
page 2	粵合作事業頗具成績
page 2	戈林失蹤
page 2	格連活之言
page 2	墨法庭審問托案兇手
page 2	南非洲英空軍襲意運輸車隊數百架運輸車被炸毀意機升空抵抗無結果
page 2	皖中我軍突襲奏捷武寧北日軍被圍殲湘鄂贛邊境我軍出擊斬獲極眾
page 3	英國防空力量優良
page 3	英國空軍又襲柏林
page 3	美國決心增強菲島防衛空軍及潛艇將繼前往為美國國防計劃之一
page 3	羅匈協定成立羅京朝野失意羅將在兩星期內實行割讓一部份土地與匈
page 3	瑞典東海岸發現德機
page 3	羅匈兩國協定內容
page 3	羅國忍痛接納仲裁
page 3	德意外長頌揚協定
page 3	羅保成立協定內容
page 3	美主力艦三艘施行演習
page 3	傳德意均派員赴越南視察
page 3	美傳排斯爵士運動美國參戰駐華盛頓英大使勸排斯返英釋疑
page 3	松宮使南洋日各報均重視
page 3	非洲法屬擁護戰爭經過一班法軍官不肯降捕去總督宣言抗戰
page 3	羅匈雙方締結協定
page 3	澳大規模建造艦輪
page 3	德國還能造謠嗎
page 3	倫敦地方損失甚微
page 3	英倫空戰愈劇德機千餘架來襲圖毀滅倫敦一帶飛行場結果德機損折六十二架
page 5	混戰整宵得失數次
page 5	日機續向斗門轟炸
page 5	前山日軍分駐各鄉
page 5	岐關東西兩路戒嚴
page 5	粵戲劇界發動獻機擬定名劇人號
page 5	惠寶各縣水災省府救濟災黎
page 5	一區專署奉令嚴查鈔來源日人造我國法幣企圖擾亂我方金融
page 5	潮安日軍增援三千兩路進犯深入登崗被包圍痛殲雲梯山我軍勇戰陳地屹然不動
page 5	日軍千餘兩路進犯
page 5	雲梯登崗展開激戰
page 5	青年團員奮勇救護殉職中央團部給卹金
page 5	曲江之稅捐與兵役
page 5	順德日軍拉伕情形大良容奇桂洲等地拉去三千人各商店工廠及居民連雙扉緊閉
page 5	粵北我游擊隊截獲大批日馬進攻郭塘將可克復
page 5	日海空軍再聯合來犯中山白蕉鄉昨仍在血戰中日機連分向斗門向各地投彈前山日軍分駐北嶺白石各鄉
page 6	封鎖寶安全境交通
page 6	粵府嚴禁邪教雅說取締道院假托神　非法活動
page 6	黨員工作競賽運動台山縣黨部奉令舉行
page 6	韶市紀念孔誕
page 6	日人訓練跳傘部隊
page 6	粵漢鐵路路軌鐵橋被炸斃日軍官多名
page 6	桂省派送赴渝受訓人員擬九月一日起程
page 6	祠宇捐獻
page 6	粵本年徵募寒衣辦法總額三十萬元鼓勵民眾捐獻各縣市籌募數額亦分配妥當
page 6	秋節獻金
page 6	日軍昨開始封鎖寶安交通扣留沙頭船艇不准貨物出口並拉伕修築寶太沙深兩公路
page 7	保衛團組織難嚴重局面已成過去徵求團員實非易事
page 7	法輪一艘復准開返海防
page 7	銀紙變草紙又一傭婦被騙
page 7	婦女新運會收到一批捐款
page 7	纜車專利權展長有效期限
page 7	一批賭徒被罰
page 7	慰勞物品運英
page 7	今日為記者節各記者會均開會紀念
page 7	郵局停止收寄東江各地包裹
page 7	趕快行好運西貢鄉民提前賀年謂如此可消除災禍使大家否極泰來
page 7	廠商聯會擬訂華洋貿易公允合約廢除外商前所採用之不平辦法內容包括十三點務使各得其眾
page 8	長洲居民捕獲大龜重約二百斤
page 8	襲　居奇　價狂漲
page 8	商人輸運貨物段自備申請書
page 8	收回兩段官地
page 8	顧執中昨抵港決在港稍事休養
page 8	霍亂流行未已市民宜慎飲食
page 8	粵救濟會港分會請海外僑團捐助款物吾粵災民遍野亟待救濟
page 8	汛美機今到港
page 8	廣安銀號獲准買賣國幣
page 8	港政府委任令
page 8	黃耀東昨出殯
page 8	砲兵積極演習
page 8	港府遷葬各區墳場骸骨
page 8	雙層巴士准行走本港只限皇后道及跑馬地線新年由英運到即可實現
page 8	鶴山商會今日召開會議
page 8	東院賣花成績募得四千餘元
page 8	元培圖書館籌委會昨會議
page 8	各大商號職員增薪
page 8	營養不足死亡相繼
page 8	佛山輪船定期復航本月四日開赴廣州今午開始售賣客票
page 8	商人居奇物價狂漲市民痛苦急待解救中下階級營養不足死亡相繼
page 10	中國新聞記者公會今日熱烈紀念記者節上午舉行水運下午同樂會入場門券均有得獎物品希望
page 10	國際棒球決賽葡萄牙獲錦標七比五擊退美利堅美軍敗在後勁不繼今日有一場義賽
