page 1	維也納會議之後
page 2	贛北日軍竄犯岷山遭我內外截擊全部不支向箬溪清退皖南我軍殲日劉家渡
page 2	日本舉行全國防空演習
page 2	日赴南洋專使小林首途
page 2	陳嘉庚等行抵長沙
page 2	中常會決議褒恤邵虛白
page 2	滬法租界連日特別戒嚴許多馬路建臨時砲壘鐵甲車出動頻頻巡邏
page 2	粵我軍分兩路襲擊神岡日軍斬殺百餘將石頭山克復桂南日擾那廊墟被擊退
page 2	希臘客輪實行武裝
page 2	英輪哈些爾特號傳被魚雷擊沉
page 2	張治中到部視事
page 2	自稱亨利第六宣言擁護貝當
page 2	意空軍轟炸英商船隊
page 2	豫省黃水為患一片汪洋秋收鮮望
page 2	日美衝突前途可慮
page 2	羅農民反對軸心仲裁
page 2	美國今日之海軍一
page 2	桂戲劇界響應獻機運動
page 2	美國一郵機突然爆炸死搭客約二十名
page 2	德召約多腦河諸國在維也納會議鞏固德國在巴爾幹地位
page 2	當局積極救濟東北難胞
page 2	正太路我攻入壽陽張茅大道日軍受挫晉城以北遭遇戰斃日軍甚多
page 3	倫敦受襲
page 3	柏林大火
page 3	南非洲國會重申政戰政策否決赫索將軍和議提案
page 3	美天文預言全球將有大風雨海陸交通將受影響
page 3	軍委會發表一週戰況八月廿五日至卅一日
page 3	美記者團訪星加坡日報大事　染
page 3	國聯秘長愛文諾擺脫一切職務
page 3	德在多明尼加極為活動第一步工作已完成將進行第二步侵略
page 3	南大西洋沿岸發生暴風
page 3	英國準備足以應付德國美軍事代表團之觀察
page 3	本年普考初試放榜三及格人員共計二六三名
page 3	德蘭斯溫尼亞州人民反對維也納仲裁武裝農民據守防禦工業聲明決以武力抵抗匈國
page 5	我機兩隊
page 5	日軍陣地
page 5	演習施放
page 5	韶關加緊疏散物資海關頒佈報運暫行辦法充實消防新機陸續運到
page 5	疏散貨物
page 5	桂林充實防空力量設重傷醫院組流動救護隊各避難岩洞設臨時留產所
page 5	中山八區戰雲密佈日艦艇進犯大托被我擊退灣仔和平軍調被日解決中山昨開放返鄉者寥寥無幾
page 5	中國銀行兌換英鎊鈔券
page 5	中順兩縣團隊活躍
page 5	日軍炮擊灣仔銀坑
page 5	我團隊擊傷兩日艇
page 5	日艦炮擊我大小托
page 5	中山車客備受荷擾
page 5	衛生善後
page 5	設留產所
page 5	省政工隊提倡勞動服務
page 5	粵民廳調整各縣區署
page 5	三水西區賊匪聯宗互劫
page 5	鞏固消防
page 5	我機飛炸寶安日陣詳誌分兩隊向各地投彈日軍器械急即遷移
page 6	日犯花縣伏屍二百
page 6	神岡日擾西湖不逞
page 6	我軍反攻兩龍劇戰
page 6	日陸軍首腦人物以中國通蘇聯通為多
page 6	戰地記者昨慶祝記者節
page 6	廣大校遷回台山續訊
page 6	肇市焚煙賭具
page 6	廣三沿線我團隊破壞路軌與日激戰擊斃日兵四名我無損失
page 6	日犯花縣城展開劇戰一度侵至城效但旋被擊退我軍反攻兩龍殲日三百餘我襲神岡得手日反撲西湖
page 7	九龍平民屋非停建
page 7	灣仔貧民擠擁情形
page 7	摩托車工會東區分會成立
page 7	中區防空演習昨晚六時舉行
page 7	林語堂昨赴美
page 7	吳鐵城昨抵港將越海外宣慰僑胞
page 7	警探捕獲竊匪
page 7	婦慰會募捐訊
page 7	飛剪機昨抵港
page 7	港越航運恢復某輪　　已由港開行航業界謂係試驗性質
page 7	佛山輪今返港
page 7	塘西天后廟前賭徒大開字花警探搜捕拘去五人
page 7	何艾齡將結婚親友禮物移贈慈善機關
page 7	深圳日軍突增大部份係老弱新兵今日開始封鎖新界
page 7	港政府決增建平民屋俟覓得適當地點即興工建築現定計劃五百間至一千間
page 8	青記外聯聚餐慶祝
page 8	記者公會開會紀念
page 8	為程遺族募贍養金
page 8	同樂會之游藝節目
page 8	穿窬盜光顧首飾店撬破飾櫃竊去大批珍飾
page 8	游藝節目極為豐富
page 8	各廠致贈精美禮品
page 8	我空軍活躍連日飛襲廣州天河機場損失甚重
page 8	荷僑祝女皇壽
page 8	畢達士將赴印參加英屬經濟會議
page 8	旅客服毒自殺
page 8	霍亂症漸蔓延一日內發生十一宗
page 8	今日公眾假期中西銀行均休業
page 8	褒揚捐輸救國僑民我政府將發給獎狀
page 8	漢文女子師範定期招考新生
page 8	楊善深畫展閉幕
page 8	長洲的現象
page 8	港新聞界慶祝記者節滬名記者顧執中沈頌芳亦參加青記會為程振章遺族募贍養金
page 10	棒球義賽三次上演美聯軍打勝仗八比二輕取港選手隊全場共有全壘打三記
page 10	東方游泳會今夕二次水藝
page 10	記者公會慶祝九一二屆水運情形熱鬧各項競技成績頗為美滿
page 10	夏令籃球戰訊
