page 1	建川使俄與日蘇關係
page 2	對越南最近形勢軍會發言人談話
page 2	荊當間日軍四路向我反攻我奮勇抵抗日紛紛竄退斃日軍二百餘奪獲甚夥
page 2	運城西北發生激戰
page 2	滬日憲兵在碼頭搜查旅客
page 2	粵勸儲會即將成立李錫光為主任幹事
page 2	晉南日軍又思竄擾
page 2	增城日軍進擾被擊
page 2	日軍犯隘店後路被斷
page 2	羅斯福即將返京
page 2	華盛頓傳出離奇消息德軍百萬集中邊境防蘇乘隙向　進攻
page 2	二期禁政視察員已派定
page 2	投筆從戎小童徐偉民壯志
page 2	大學用書編輯委會開會
page 2	甘省藏民宣誓效忠委座
page 2	教授服務滿七年離校考察研究辦法時期半年或一年仍領原薪但不得擔任其他有給職務
page 2	南華寺方丈虛雲和尚獻金
page 2	法政府驅逐危險份子出境
page 2	南京政府圖強管法界內兩法庭兩法庭之法官決不接受
page 2	司馬昭之心
page 2	一個離奇消息
page 2	加魯爾投向法意邊境
page 2	美洲華僑努力募捐購機務達一百萬元目的
page 2	公共租界發生一大劫案九江路證券交易所被劫金條值二十萬
page 2	美命各製機廠速製政府定單一萬四千餘架
page 2	桂南日軍有所活動準備從陸侵入越南傳德古接納日要求未得證實老街國際鐵橋為我自動炸毀
page 3	柏林兩次被襲轟炸之烈向所僅見
page 3	士他令論述美國海軍今後動向二
page 3	德機續炸倫敦轟炸不若以前劇烈
page 3	德軍準備渡海大量軍隊集中海岸
page 3	颶風襲擊九州西部長崎受殃尤甚海上航務停頓
page 3	傳美水兵定期接管公共租界中區不顧日人願意與否決定採取強硬政策
page 3	英空軍秘密武器自動烯著燃燒彈
page 3	美紅十字會救濟英國難民
page 3	美軍官費第斯力主美澳聯防美若與英屬地成立軍事諒解英美經濟必能作進一步合作
page 3	國際橡皮委會發表修正報告
page 3	中東方面意機襲泰拉維夫城平民死者五十餘名
page 3	德準備向南美經濟政治進攻希特勒向南美各國提議以大批軍用品讓給各國
page 3	美上議遼討論徵兵法案提出一折哀法案被徵年齡不過四十
page 3	英德空軍互為報復倫敦柏林受炸擊倫敦受炸較前兩日稍輕柏林受炸之烈向所僅見
page 5	日方覬覦下越政府備戰忙戴古巡視邊區防務羅庇和斯奉召飛越
page 5	越南防務日臻鞏固
page 5	越南政府建飛機廠
page 5	越督戴古巡視邊防
page 5	入口貨物通融辦法
page 5	四行發展農業金融粵省籌組促進會辦理派定主行委員即成立
page 5	省促進會組織通則
page 5	法總公使奉召飛越
page 5	我大批游擊隊混入廣州日驚惶又施行戒嚴　市面益蕭條陳耀祖不敢離廣州市區一步
page 5	縣促進會組織通則
page 5	粵戰時政治工作隊側重協助推行新縣制駐前線區隊促進軍民合作典江縣實施新縣制後情形
page 5	四邑
page 5	東江穀價回跌
page 5	桂南劇戰我軍克復甘墟日機連日又飛高雷各地狂炸欽縣附日軍內鬨日派兵鎮壓
page 6	向龍泉進襲
page 6	當其撤退時
page 6	我軍進攻三水電線岡已被我克復日軍擾楊梅不得逞
page 6	我襲三水
page 6	日犯楊梅
page 6	朝令夕改汪轄下之廣州政令檢定小學教員之失望機關人員支薪之變更
page 6	台山當局甄別小學教員
page 6	婆蘿島方面
page 6	白蕉之日軍
page 6	附日軍反正
page 6	南海蘇村等鄉被匪冒軍焚劫
page 6	吳奇偉任新職某戰區代司令
page 6	中山各區日軍繼續退竄三廠一度無日蹤鄉民多出走周漢鈴部圍隊夜襲龍泉奏捷
page 7	住客聯會請港府速建防空壕洞現已屬非常時期不宜再緩煤氣鼓等宜改塗防空色澤
page 7	我外部獎勵僑生學習專技
page 7	代督昨巡視總警署對各部建設備極嘉許
page 7	霍亂症蔓延愈遠昨一日內發生百餘宗荔枝角增闢臨時傳染病房十字車輸送病人忙個不了
page 7	已疏散英婦孺暫無返港希望港政府昨再鄭重聲明此次疏散係強制執行
page 7	市虎噬死少女
page 7	港府再加徵煙草稅新稅率昨日已公布
page 7	美航海家獲釋帆船仍被日扣留
page 7	漢陽號將赴津
page 7	港府將設移民局華人入境須受限制目的在防止本港人口再增加該項法例將提交立法局討論
page 8	民主主義和獨裁主義的戰爭能式一撰英遠東情報局播
page 8	澳輪減少班次因貨客稀少
page 8	五賊夜劫貨艇
page 8	立法局今會議
page 8	深水埔私寨案判決三婦人分別被重罰
page 8	鄭湘先何艾齡昨日結婚盛況
page 8	孔教學院丁祭
page 8	嘉齡水能治霍亂
page 8	韶關頻遭空襲災民遍地待救孔亟省救護會飭港分會努力募捐劉景清勸各界僑胞踴躍捐助
page 10	足球總會昨日委員會議通過本屆聯賽秩序
page 10	昨晚鐘聲四次水藝吳年又破全國紀錄百咪自由式成績一　零三秒四馬師會蒞場頒獎義款收入甚佳
page 10	東勵游泳對抗定十四日舉行
page 10	銀牌籃賽近訊
page 10	夏令籃球戰績
page 10	本週足球友誼賽東方約戰警察
