page 1	英德戰事現階段
page 2	晉豫戰事我有進展
page 2	增城西北日軍潰竄
page 2	越南當局希望美國援助法日雙方已停止談判傳德古反對法日協定
page 2	日赴荷特使小林抵萬隆將開煤油及經濟談判美煤油商已與英荷汕商談判
page 2	我軍猛攻夏縣外圍
page 2	粵各界開始徵募寒衣
page 2	滬防區談判已陷停頓
page 2	皖省發動秋節獻金
page 2	關懷祖國受傷將士海外僑胞踴躍捐款渝傷兵之友總社收到四十餘萬元
page 2	羅將與匈商議割地善後問題
page 2	英加共同投資在加建軍械廠預算將來每年出品可值八千萬萬金元
page 2	意已準備進攻埃及組織三個軍團
page 2	貝當內閣舉行會議
page 2	重慶定為陪都市民籌備慶祝定期召開籌備會議
page 2	黔勸儲分會定期明日成立
page 2	汪政治警察租界法庭法官限期一星期加入汪方面
page 2	日對名製品推行專營辦法
page 2	韓義勇隊第三隊抵筑
page 2	日法軍事視察團坐機被日擊落該機誤經潿洲島禁區誤被潿洲島日機所擊
page 2	德古的徘徊
page 2	不再安撫
page 2	拉森勃里自動返國受審
page 2	最高法院院長焦易堂辭職
page 2	法艦六艘駛出直布羅陀由地中海至大西洋
page 2	日本無人肯任駐美使節之職因日軍部之行動難使外交有成功
page 2	桂南我再克上思城並將附近據點克復宜昌南岸日軍竄犯被殲甚眾
page 3	邱吉爾演說德軍已準備渡海荷比法等港集合許多輪船英國無論男女均須作準備
page 3	德機活動範圍較前兩夜廣闊
page 3	財部決定取締銷售奢侈品一減少非必需品之輸入節約國民不必要消費
page 3	英倫劇烈空戰德機損失重大
page 3	英轟炸機三隊相繼襲擊柏林
page 3	美兩院對征兵案意見已趨一致私家工廠若不接國防定單其工廠機器可被政府征用
page 3	意兩親王被扣候訊
page 3	佛朗哥之子行將　德應德政府邀約
page 3	羅斯福決心維持自由制度實行積極擴充軍備應付國防緊急需要
page 3	羅首相勸人民擁護獨裁政權
page 3	澳洲聯邦貯存軍用原料共值一千萬鎊金
page 3	保羅土地移讓協定內容規定兩國新邊界保定本星期末接收新地區
page 3	美國海軍力量足以抵抗侵略美海部次官之談話
page 3	美加聯防會議閉會製定若干計劃各委員將赴太平洋觀察軍事防禦形勢
page 3	倫敦高射砲火猛烈壓倒炸彈轟炸力德機不能侵入倫敦中心區愛爾蘭受侵略說完全不確
page 5	日機分向中新肆虐
page 5	日軍進犯馬山不逞
page 5	香港海防各地設國大代表通訊處辦理招待與指導事宜渝十一月起開始招待
page 5	小欖一帶我軍活躍
page 5	附日軍多醞釀反正
page 5	便衣隊襲石岐賭場
page 5	我機兩度空襲後佛山日軍施行戒嚴禁所謂偵緝員攜械外出
page 5	進迫新街
page 5	粵北新街龍口展開劇戰我克復布嶺猛烈圍攻龍口爭奪新街車站殲日二百餘
page 5	官窯附近劇戰
page 5	西路我軍出擊官　三水激戰攻下胡蘆崗文崗衝入雲步閣日死傷重大困守金山寺待援
page 5	中蘇文化會寫信運動展期
page 5	三水游擊活躍
page 5	台山兵役市情暢旺
page 5	粵衛生處設助產訓練班
page 5	圍攻龍口
page 5	中山日軍犯高瀾島被擊退新鶴路日軍犯杜阮被我圍殲石門等地附日軍又醞釀反正
page 6	已不見有日兵駐守
page 6	增城日軍犯廟潭受創增江我團隊活動日軍甚恐慌我攻上下羅岡搗毀維持會
page 6	日犯廟潭
page 6	夜襲羅岡
page 6	河南又發生炸彈案日軍大搜舖戶及行人
page 6	鄉保協會組織辦法
page 6	粵省積極開發地利規定墾荒辦法
page 6	連日雙方均有接觸
page 6	有準備撤退之表現
page 6	公務員須墾耕六井
page 6	粵省府積極促進行政效率草擬三十年度施政中心工作計劃組織視導團出巡與加強考核工作
page 6	行政設計
page 6	惠陽各界中秋節獻金
page 6	行政視導
page 6	利便歸僑韶籌設招待所
page 6	行政攷核
page 6	促　方法
page 6	寶安日軍仍陸續撤退邊界檢查哨亦已鬆弛我軍向深圳外圍出擊
page 7	豬牛雞鴨供不應求
page 7	大批白米運港接濟
page 7	留越輪船陸續返港運來白米數十萬擔本港米價可望回跌
page 7	廣州大學請潘序倫演講
page 7	廣州灣之戰時準備
page 7	廠聯會昨會議決雙十節開懇親會
page 7	節建儲運展期結束租便學界普遍推行
page 7	禁用單車運貨下星期一實行
page 7	婦女慰勞會明日賣花籌款
page 7	汛美機昨抵港
page 7	麥華三等提倡書法召集全港書家討論進行事宜
page 7	赴滬旅客須攜防疫證書
page 7	商業組織所置器具徵收戰稅評價辦法戰稅法例第三條有詳細規定立法局昨日會議已通過實施
page 8	誰有閒心賞明月是年月餅市極冷淡運銷外埠者亦銳減大部份受戰事影響
page 8	九龍法國醫院已定明日開幕
page 8	港府宣佈增稅後煙販昨已提主售價兩煙草公司昨開會議批發價格尚在　訂中
page 8	港澳賑濟會招考免費學生定十五日開始報名
page 8	報名手續
page 8	待遇辦法
page 8	留營難民略增
page 8	兩私娼交救世軍教養
page 8	珠江河道開放無期傳省澳輪將復航似不確
page 8	灣仔新消防局短期內可興建
page 8	九龍城圖劫案三被告處徒刑
page 8	醫界長期義捐八月份之成績
page 8	搶匪判處徒刑
page 8	英駐華艦隊司令黎頓昨已就職
page 8	警探搜獲兩批假冒渣打銀行紙幣一女子被捕昨已解由法庭訊辦警官解釋真偽幣相差之十一點
page 10	星島南征足球隊大軍昨日凱旋此行共十四戰九勝三和兩負
page 10	籃球聯會定十八日頒獎各路人選排定
page 10	週末友誼足球南華戰士葛東方對警察
page 10	大學聯誼會明日舉行海浴
page 10	夏令籃球賽今日兩場戰事昨日信林僑星告捷
page 10	全港游泳冠軍賽華會多不願意參加
page 10	龐鼎珍今日結婚
page 10	中青會舉辦月夜游河會
page 10	星島歸鴻十四
