page 1	日泰壓迫下的越南
page 2	越邊法日兩軍一度發生戰事
page 2	越督廣播演說力勸人民鎮定
page 2	駐青島之美艦出發往岷尼剌
page 2	教部積極籌備國民體育會議各方提案陸續送到
page 2	統一招生分發完竣
page 2	晉南我軍發揮威力晉城陽城戰況仍烈
page 2	鄂中日軍遭我痛殲
page 2	武寧日軍傷亡慘重
page 2	豫南我軍渡淮進擊
page 2	綏境日軍西犯受挫
page 2	閩省祠族獻金踴躍
page 2	太平洋的一二八
page 2	蝸行與閃電
page 2	越南與日成立協定日軍和平侵入越境滇越路已大加破壞我有防備
page 3	法國沿岸德軍大砲兩次轟擊英倫有等砲彈落於多維爾區倫敦北郊上空劇烈空戰
page 3	英倫擊落德機十架
page 3	柏林發出空襲警報
page 3	蔣夫人通電呼籲徵募藥品婦女慰勞總會發表徵募辦法
page 3	蔣夫人之通電
page 3	徵募藥品辦法
page 3	印度海軍現正漸逐強大英將派新式艦多艘加強印度海軍力量
page 3	英當局進行調查印各工業
page 3	鐵肺人仍無恙其妻產一女孩
page 3	意對聚利亞有所企圖意往聚利亞者人數不斷增加
page 3	埃及首相下令全國戒嚴預防將來發生事變俾內閣有權應付之
page 3	上週星洲當局拘捕日人六名四名已獲釋放
page 3	德否認難民船被德潛艦炸沉
page 3	英輪兩艘在溫州突被日軍截留英已向日方提出抗議
page 3	英皇廣播演說砲火　已達到吾人門戶吾人不惜犧牲爭取勝利
page 3	基地將見印督
page 3	我駐菲楊領事主張英美在遠東合作法荷兩國亦應共同參加阻止日軍進一步之侵略
page 5	進犯江平東興
page 5	防城海外日艦
page 5	桂省各路戰訊
page 5	婆羅島無日蹤前山日軍亦將他調灣仔舖戶多被劫掠
page 5	寶安日軍運砲到梅林被游擊隊設伏截擊炸燬其巨炮兩門日軍續調到深圳
page 5	韶關暫緩改市
page 5	粵省府組公耕督導團由李主席漢魂自任團長
page 5	台山縣府禁絕煙毒調驗染有煙癖鄉鎮長令各區於十月一日前具報核辦
page 5	東江各縣奉令查報忠烈事跡
page 5	台山第一期幹訓學員結業
page 5	小磯板垣飛廣州召開軍事會議並與安藤飛往越南
page 5	各地團隊切實維護交通粵省府之通令
page 5	廣州日軍加緊戒嚴連日市民失蹤者甚眾
page 5	淡水崇雅中學日間即可復課
page 5	某老農談勸灌運動
page 5	防城戰事激烈我分路出動日兵在潿州島竟日練習跳傘邕武路我軍出擊殲日軍數百
page 6	我機一隊揚威粵北
page 6	花縣日軍進犯受挫
page 6	桂調查公共處所戶口核定戶口填辦法四項
page 6	留澳中山難民月底全部疏散
page 6	廣東政治新階段三
page 6	建立人事制度
page 6	切實推行新縣制
page 6	第五推廣國民教育
page 6	第六整理稅制
page 6	第七改進兵役
page 6	兒童教養院籌備成績展覽明年元旦舉行
page 6	粵廿五縣局成立儲蓄分會
page 6	港澳記者何藹生昨逝世
page 6	九一八紀念日我機一隊揚威粵北向日陣投擲宣傳品達數十萬份日軍進犯花縣迴龍嶺被我擊退
page 7	西人住宅
page 7	四賊闖進
page 7	警探查緝
page 7	公共場所將裝設播音機郵務司接納住聯會提議
page 7	徵募款物救濟傷兵難民
page 7	貪利之徒竟轉售防疫證圖利領證手續絕非困難赴澳旅客勿受其愚
page 7	零亂症之統計先後發現七百五十四宗
page 7	大道中龍獅惡鬥疫鬼驅不去治安反受害希望警察當局嚴加取締
page 7	余賀增幻術團今日義演籌賑
page 7	港滬航線之危險區域
page 7	金巴倫道竊案被告詳臬定讞
page 7	高級法庭提審印警殺同侶案公堂上被告表演肇事情形謂死者奪其槍致弄成慘劇
page 7	郵局停收寄韶掛號信件
page 7	九龍英皇子道西人住宅白晝被劫兩傭婦力戰四強盜卒被綑綁私蓄被劫一空主人幸無損失
page 8	東安輪船入塢西安輪今晨赴澳
page 8	三賊截劫婦人掠現款二百元
page 8	青年會少年部組織兒童劇團
page 8	言論自由能式一撰英國遠東情報局播
page 8	史柏堅力贊重慶防空設備週密民眾態度鎮靜尤為難得
page 8	大觀酒店中兩女郎仰藥自殺面塗脂粉相擁待斃一已死去一幸獲救
page 8	中振會資助港青年服務團
page 8	救濟會醫院增聘醫生護士
page 8	戰區退出員生明日首途返國
page 8	鳳山工會成立各界多往觀禮
page 8	玻璃業工會開幕
page 8	西河堂組經委會
page 8	美報界巨子柏達遜談東遊觀感荷印當局已積極作戰時準備並希望美海軍在星獲得便利
page 10	足球總會明日舉行會議審查東方改期理由球國法庭初次開堂
page 10	本週足球秩序
page 10	東方體育會近訊滬三劍客今日可抵港第一屆水運下月舉行
page 10	銀牌籃球賽澂江敗於華僑今日夏籃一場戰事
page 10	住聯體充部舉辦國際長途賽跑路線日期均擬定
page 10	學界水運大會中止舉行
