page 1	太平洋局勢前瞻
page 2	越邊法日兩軍再度發生激戰法軍司令盧比特已陣亡日機兩次轟炸諒山機場
page 2	美國務卿表示反對日侵越南但未表示取何具體辦法各方要求積極加強禁運
page 2	郵費增加平信本埠四分外埠八分惟對新聞紙則照舊收價
page 2	滬市府警察圖奪租界捕房為巡捕開槍射擊始退
page 2	美將找尋方法間接打擊日本今後美國所採取之行動必係注意於星洲及澳洲
page 2	意軍侵入埃及處處感到困難遭遇英軍抵抗損失甚大沙漠縱橫意軍進展困難
page 2	潯紳鞠藻枝壯烈殉國
page 2	遠東已形成一新局面霍軍德第一篇通訊主張立阻日本南進
page 2	日駐滬總領崛內到任
page 2	越南宣布協定取消日軍聲言大舉侵越法軍奪回同登日犯諒山被擊駐防邊界我軍準備奉令出動
page 3	英軍兩下最後通牒
page 3	哥里將軍自動撤退
page 3	美國方面頗稱快意
page 3	貝當政府決定抵抗
page 3	英國空軍大舉炸擊柏林又炸擊法國沿海岸德機亦繼續炸倫敦
page 3	我軍衝入晉城巷戰鄂南我軍繼續出擊
page 3	綏境我軍不斷襲日
page 3	浙海日艦砲擊石浦
page 3	鄂中戰事益趨激烈
page 3	租界力求解決卸責謝團長持嚴正立場要求獲得具體保證不再發生同樣事件
page 3	美對滇緬路態度仍無變更不贊成任何封閉
page 3	烏拉圭所捕德僑俱有間諜活動
page 3	美借用新加坡港各專家認為兩國有利既可協助英國保護馬來等地又可保護荷印之錫產與橡皮
page 3	粵桂日軍蠢犯不逞
page 3	一面談判一面進攻
page 3	美國對日三部曲
page 3	里賓特羅市甫報告赴意經過
page 3	澳洲大選結果未能宣佈
page 3	日荷談判即可正式舉行
page 3	哈特離青赴滬
page 3	新喀里多尼亞島擁護哥里將軍開始徵募軍隊
page 3	哥里率法自由軍圖奪西非達加港英國艦隊協助哥里作戰結果哥里又復自動撤兵
page 5	我機昨炸南頭日陣北門外日陣地被擊中日軍嚴查良民證
page 5	省府一六二次會議通過黨政軍示範工作視察辦法周醒南接充公路處處長修正現行緝私獎勵條例
page 5	廣海設關收出入口稅雷廉瓊海關遷廣海辦公
page 5	示範工作視察辦法
page 5	粵驛站管理處開展工作
page 5	廣寧囚犯呈請從軍
page 5	寺內壽一飛抵廣州聞攜有重要新訓令
page 5	台山秋節獻金
page 5	我空軍炸燬潮汕日陣日軍犯楓溪古巷受創潰退
page 5	省府職員投筆從戎
page 5	湘省銀行在韶設辦事處
page 5	禪炭路被炸日軍車被毀斃日兵八名重傷二名
page 5	埋藏爆炸品
page 5	其肇事地點
page 5	粵南桂南我軍連戰皆捷長橋新墟馬家莊等地已收復日續增兵防城小董被我包圍
page 6	三灶日軍亦已他調
page 6	甘竹河面擊沉日艇
page 6	對外交通仍能維持
page 6	羅庇和斯乘機返灣
page 6	雍庇和斯飛返西營廣州灣法越軍調動忙日艦結集　州口外圖包圍租界西營疏散市民並施行燈火管制
page 6	西營日艦大肆騷擾
page 6	赤坎人心仍甚安定
page 6	廣東政治新階段四
page 6	第八維持治安
page 6	救濟義民
page 6	加緊動員工作
page 6	廣州市郊炸燬日車便衣隊安然退去
page 6	梅縣農民張藝谷節喪費振難民
page 6	粵漢湘桂路聯運韶柳間開直通快車粵漢路車延行至株州
page 6	韶關進出口貨物統計三個月來共值四百八十萬元
page 6	桂振靈山義學
page 6	中山沿海日艦盡調江門澳門三埠貨艇多已復航江會日軍空虛我將大舉出擊順德河道已為我游擊隊控制
page 7	港廠商懇親會定雙十節舉行
page 7	東莞工商會籌振故鄉水災
page 7	代督慰問英王
page 7	文化協會今日舉行年會報告一年工作選舉理事
page 7	中央增設短波電台向南洋僑胞播送國內新聞每日播送兩次本港可收聽
page 7	受越南局勢影響港越機昨停航各輪船仍擬照原定航期航行某輪昨日抵港搭客異常擠擁
page 7	衛生局昨例會
page 7	代督岳桐加入防癆協會九龍防癆分站　症統計
page 7	婦慰會花款已收得五千元
page 7	國醫學會響應節儲運動二次征求隊長人選已定
page 7	霍亂疫症尚未撲滅醫務當局勸市民注意防範
page 8	印警殺同侶案判決失槍殺人出於無心被告文星無罪獲釋
page 8	石岐菜蔬大批運港應市
page 8	拐婦被捕入獄
page 8	舞龍擾亂治安十餘人被 警探拘罰
page 8	沙田慈雲山觀音廟昨被劫損失財物值數百元一齋姑被毆傷頭顱
page 8	英女護士之訓練
page 8	我政府獎助文化人港方由文協會負責辦理
page 8	血案犯昨提堂
page 8	省賑會登記義民第二批昨離港赴韶並無汽車接送老弱亦須步行望能設法補救減輕歸僑痛苦
page 10	全港游泳冠軍賽今夕五項決賽六時一刻在域會池舉行
page 10	三華隊試新陣分日出師約戰外旅南華東方今分抗海軍約瑟星島隊明日全力對警察會
page 10	華隊球員動態滬三劍客昨未抵港陳德輝等已返娘家
page 10	東
page 10	星
page 10	青年會週年水運定期下月舉行項目經已擬定
page 10	華人中青游泳對抗中止
page 10	銀牌籃球比賽今日仿林戰警察
page 10	韶關舉行渡江泳
