page 1	美國與遠東
page 2	晉南戰況激烈我軍進展神速安邑之線戰況尤烈我向聞喜一帶挺進
page 2	通山以南發生砲戰
page 2	信陽一帶交通破壞
page 2	中央設計局開始辦公
page 2	劉公島發現大小日艦八艘威海衛外人甚恐慌防劉公島惹起糾紛
page 2	海防登陸日軍已達三萬餘人先頭部隊已到高平附近如侵入我境我必起迎擊
page 2	參政員候選人限期選出十一月五日以前
page 2	反侵中國分會定期舉行反轟炸大會並發動各國分會一致響應
page 2	我機飛平散發委座文告
page 2	滬汪機關報被人擲彈
page 2	華北皮裘出口日方故意留難美方提出抗議
page 2	中央厚　程振章家屬
page 2	軍委會發表一週戰況九月廿二日至廿八日
page 2	我軍直迫旬容城郊
page 2	贛北我軍進迫瑞昌
page 2	英美對日不再安撫已決定開放滇緬路傳美允再貸我鉅款購買軍火
page 3	意軍三師團開到希臘邊境希臘準備其隨時來攻埃及英軍守衛力加強
page 3	加拿大海軍購得巨型帆艇改裝為巡查艦
page 3	英倫空戰結果擊落德機十架
page 3	美大西洋艦隊組新巡查艦隊海軍部召力察遜大將返美京傳美將派艦赴澳洲及新西蘭
page 3	華爾街金融突有起色係有三種理由
page 3	法泰在本月內舉行談判泰將堅持條件不容對方爭辯
page 3	蘇聯下令徵用青年入特別工　學校
page 3	英政府設立一科學總機關鼓勵工作人員努力研究科學
page 3	德當局對日記者談攻英計劃暫停謂德外交地位已增強此係令人難信之托詞
page 3	鄉民張長虹遺囑捐資興學
page 3	絕非倖致
page 3	孤注一擲
page 3	欺人之話
page 3	蔣夫人致謝美國婦女
page 3	日閑院宮親王辭參謀總長職以杉山大將繼任
page 3	日外務省慶祝三國同盟
page 3	美國防建設程序立法手續辦竣
page 3	韋樂基演說對新政攻擊
page 3	英空軍炸德集中軍事目標子彈廠煉油廠多被擊
page 3	項政府暫停疏散兒童
page 3	意壓迫聚利亞完全失敗
page 3	教部改善貸金制度二陳教長發表告戰區學生書
page 3	英內閣重要更動張伯倫辭樞密院長職內閣閣員將增至八員
page 5	全部調越
page 5	空氣作用
page 5	匪風猖獗
page 5	發現日艦
page 5	整頓港韶交通加強對日封鎖陳驥鄧士采巡視淡水
page 5	粵稅收機關本月實行改制範圍縮少節省開支工作加緊利便商人
page 5	某委談禁煙步驟
page 5	劉志陸抵韶謁李主席請興辦工業收容難民省府令稅務局予商人利便廣東審計處訂定稽察辦法
page 5	綏署清理東江軍法積案
page 5	惠博匪風猖獗
page 5	粵北旱象未減軍民加緊搶救各機關派員出動灌溉惠陽各界亦組救旱隊
page 5	廣州一德路銀舖被劫某賭業公司被勒索五十萬
page 5	粵省府妥籌預算平衡新增經費須有來源方准開支決籌款百餘萬作歲出預備金
page 5	寶安日軍陸續南調我軍仍嚴密保衛廣九路派隊防守沙魚涌等要地大亞灣方面之日艦來去
page 6	中山新會發出警報
page 6	中山日軍最近動態
page 6	江會砲戰日擾龍泉
page 6	四邑軍政聯席會議嚴厲執行經濟反封鎖陳沖河道暫時不准開放
page 6	商輪改日艦騷擾粵海因大部日艦南調
page 6	中大研究院考察團抵韶關遍歷滇黔湘桂粵收穫甚豐
page 6	惠陽鹽場開放老隆存鹽六千包准商採運
page 6	海豐振濟會賑卹汕尾災民
page 6	石岐之鋤奸隊
page 6	李主席召集政務視導團座談會提示視導鵠的四項
page 6	行政效率
page 6	官民痛苦
page 6	黨政協調
page 6	道德思想
page 6	我空軍又飛中山新會偵察在江會盤旋時投下大批傳單江會線砲戰甚烈陣地無變動
page 7	十賭九騙
page 7	揭破黑幕
page 7	各僑團響應節建儲運紛紛實行長期購券預料將來成績必佳
page 7	徐廉靈柩明日出殯暫厝本港東華山莊
page 7	記者學會請各界捐助書報
page 7	政治生活
page 7	提倡文學
page 7	救國事業
page 7	街坊保衛團將成立各段團員已陸續選出團員薪金問題亦解決
page 7	竊案獲三疑犯
page 7	中大繼續招生
page 7	港曼班機復航明日由港飛曼
page 7	輪艇港外遇風溺斃婦孺兩人搭客多人跳海逃生料已獲救價值二千餘元貨物悉投海中
page 7	住客聯會會議
page 7	字花廠開假字賭徒揭破黑幕數十人發生大鬥毆二十餘人受傷一危在旦夕警探彈壓拘捕疑犯數十名
page 8	米行公所論評米市
page 8	應即制止米商操縱
page 8	　越英輪　復航
page 8	印炮兵被殺案兩疑犯被扣留
page 8	海外發現浮雷
page 8	港韶空線月底開航決每星期來回一次全程僅飛一小時半
page 8	少女私藏毒藥案續審證人述搜查保險箱經過除毒藥外尚有神秘畫片
page 8	我懷念倫敦
page 8	米價飛漲不已米行公所主事人主張政府評定售價制止牟利商人壟斷居奇港存米甚多無漲價理由
page 10	足球總會討論東南兩會申訴星島拉夫無例可援西聯隊陣容經已排定
page 10	昨日友誼足球賽東方海軍言和四比四兩無吃虧
page 10	青支會擬辦籃球義賽
page 10	王棠銀牌落在東方Ａ手同義力戰敗績
page 10	港南兩大學舉行田徑對抗
page 10	埠際游泳對抗港方昨晚二次遴選四個項目均有劇烈競爭
