page 1	我們的戰略
page 2	遠東各地美僑奉命撤離日本勢力範圍
page 2	美擬封存歐洲被征服國在美所存黃金共達廿六萬萬金元
page 2	美菲關係亟須調整應付遠東非常局面
page 2	柏林倫敦兩地毒遭劇烈轟炸
page 2	美對日禁運日極恐慌星野氏發表談話謂必須速謀應付
page 2	日又對越南提出多種要求越過河內協定範圍泰國要求已遭拒絕
page 2	德軍開入羅國後巴爾幹突嚴重蘇聯反響若何至堪注意遠東各國必有重大影響
page 2	賴伐爾將赴巴黎
page 2	貝當政府扣留兩個製機專家
page 2	英國正式照會日本屆期決開放滇緬路英日情勢緊張美日關係惡劣遠東各地美僑奉令從速撤退
page 3	日機轟炸昆明城南一紗廠略受損害昆明城居民大部疏散
page 3	渝市一般人觀察日美難免一戰英國即將開放滇緬路料日本將立即下決鬥
page 3	日本人民反對美作戰切望與美避免衝突
page 3	陳慶雲抵古巴轉南美陳雁聲由紐約返三藩市
page 3	國府明令褒揚錢宗澤
page 3	墨索里尼將作重要演說宣露畢蘭那會議內容
page 3	劉公島續租英國但為日軍盤踞日軍一隊在劉公島登陸聲言接管島上一切政權
page 3	滬華捕督察龔必達遇刺傷在要害性命頗危
page 3	意空軍近少活動料欲節省煤油意人對戰爭不甚踴躍德人不願戰甚於意人
page 3	李漢魂購儲券三萬元
page 3	澳洲各黨派下週舉行會議
page 3	黔民周仲顯自動捐獻軍糧
page 3	上海孤軍營情形已趨平靜
page 3	貝當政府更改軍役年限越南方面將有五個大將退穩
page 3	星洲新總督乘機赴星履新
page 3	美水兵被辱事件日已答覆哈特
page 3	箱根丸已放行
page 3	劉文輝日內飛渝謁蔣
page 3	意政府要求一美記者離境
page 3	戴槐生等返菲謁吳部長
page 3	德意反對日本承認汪政權
page 3	三月前後
page 3	撤僑兩種
page 3	日本新三部曲
page 3	我軍向南昌挺進聞喜日軍出犯被擊退
page 5	兩旁山地埋伏
page 5	在附近遍插紅旗
page 5	清剿當地匪夥
page 5	粵省府一六六次會議議決廢除財政廳廳款課稅涓滴歸公開支悉列預算省府增設第四科管人事行政更調普寧羅定興寧三縣縣長
page 5	派員受訓
page 5	財廳提案
page 5	更調縣長
page 5	設第四科
page 5	廢除廳款
page 5	順德各部附日軍改編以台灣人任總司令
page 5	奧省儲蓄總額定為四千萬元昨舉行會議加緊推動儲運省行儲款激增達二千餘萬
page 5	市僑日軍全部撤退所謂第四路軍獨霸稅收
page 5	省府獎勵私人設託兒所
page 5	戰區經委會議結束通過重要提案廿八條其中有整理金融促進生產等項粵綏靖公署同時召開金融會議
page 5	通過議案
page 5	生產建設
page 5	戰時交通
page 5	對日封鎖
page 5	金融會議
page 5	寶安沙深路上日軍運輸車被我伏兵截擊日圖擴展南深外圍陣線各處日陣日加緊戒備
page 6	鄒琳在參會報告財政
page 6	粵府開發水利地利訂定程序分期實施墾植雜糧助民墾荒
page 6	開發水利進行步驟
page 6	東江設稽查所
page 6	李濟深昨離粵返桂盛讚粵省黨睫毛軍進步對秋省糧食設法協助
page 6	中山縣長林卓夫辭職
page 6	順屬米貴慘狀近誌
page 6	中大定斯開學許崇清過桂赴粵
page 6	發動人民合作墾荒
page 6	中山游擊隊俘獲日艇石岐婆羅島附近日軍紛紛調動九江日艇仍頻向古勞海口騷擾
page 7	本港消防當局增購大批小型救火車一部份已由英運港雖橫街窄巷亦適用
page 7	崇正總會廿週年紀念會定雙十節隆重舉行
page 7	本港移民新例將于來春頒行該例現正由律政司起草中米杜布祿任務完畢將返星
page 7	難童學校賣花募得八百餘元
page 7	私擅售花籌款男女五人被捕
page 7	陳子褒門人今日省掃師墓
page 7	街坊保衛團短期內可成立各區組織進行順利目前已屆成熱時期
page 7	中山大學在港設通訊處
page 7	派報公會復興三週紀念
page 7	貨艇私運電油貨主艇主被拘究
page 7	七千元巨竊案兩婦人處徒刑
page 7	法大使飛河內越南訪美代表同行
page 7	一貨艇突自焚
page 7	警察局政治部警探大搜本港台灣銀行對銀行不常用之品物極為注意香港日報及日通訊員住宅亦被搜
page 8	全港僑團慶祝大會
page 8	商會同人紀念秩序
page 8	婦女團體行升旗禮
page 8	廠商聯會懇親大會
page 8	九龍僑校提燈巡行
page 8	婦女兵災會又募得萬餘元
page 8	抗議疏　委會請撤銷強制疏散命令疏散顧問委會今開會研究
page 8	市政衛生局決定改善清糞辦法九龍各鄉村增設臨時水廁防範霍亂症此舉實為急務
page 8	藏毒藥案詳臬
page 8	防　協會會議改在聖約翰禮拜堂舉行
page 8	今日為重陽節山頂　車　價
page 8	海盜截劫貨艇榜人脫險返港報案
page 8	三部國產名片運來本港放影
page 8	港韶空線試飛成功昨已開始售賣客票
page 8	數十賭徒比武數人受重傷
page 8	美機明日始抵港
page 8	音樂家歌舞大會
page 8	本港各僑團將熱烈慶祝雙十節慶祝大會明晨在皇后戲院舉行五女團在南華會球場行升旗禮
page 10	埠際游泳對抗菲方定期來港客軍舉行兩次試賽成績未達理想水準
page 10	緬甸華僑足球隊來港比賽尚待接洽莫慶料緬隊來期或延至下月初旬
page 10	學界籃球賽定期開始報名
page 10	東方週年水運參加人數頗眾
page 10	港澳籃球比賽星澳　取仿林華南不敵星島
page 10	夏令籃球餘音
page 10	商務印書館運動場雙十節舉行開幕
