page 1	英羅關係之前途
page 2	羅斯福極注意荷屬國防設備
page 2	東京各報社論勸美不可輕動
page 2	日二見氏任為駐泰公使
page 2	滬孤軍集中營舉行競走比賽
page 2	教部召開首次國民體育會議由教育部陳部長主席
page 2	曾鎔甫啣命赴緬主持滇緬復運滇緬路之運輸力量在封鎖期內已改善
page 2	上海工潮日益嚴重
page 2	中英文化協會宴英大使卡爾
page 2	東戰場上我獲偉大戰蹟戰鬥六日殲日七千餘涇縣日軍已完全解決
page 2	岷山我軍收穫戰果
page 2	滬又一綁票案
page 2	滬工部局當局吊唁傅氏家屬
page 2	哥倫布紀念日羅斯福之演說哥倫布發現新大陸係人類進步之開始
page 2	印國民會議進行政治掙扎
page 2	前任比首外兩想逃到西國仍被西國扣留
page 2	荊當一帶迭克要點
page 2	美方相信美日戰爭必將於兩月內爆發美態度強硬後日態度反和緩
page 3	英機飛德炸煤油廠德機大舉襲擊英倫
page 3	傅筱庵被刺經過
page 3	菲準備與美討論國防問題菲提議美供給菲軍火以武裝菲律濱之國民
page 3	近來歐洲軍事沉寂意謂外交上有所準備傳意頻與埃政府通消息巴爾幹諸國漸投向德意
page 3	德軍錯過攻英時機英軍事評論家所發表之論文
page 3	韋爾基謂德確有侵美企圖
page 3	美欲派兩郵船接載遠東美僑
page 3	德國在南招募熟練工人
page 3	美商船十九艘賣於英國價值九十三萬餘鎊
page 3	意屬亞德里亞被英海軍封鎖糧食已感缺乏
page 3	比屬剛果總督表示願助聯軍
page 3	日對汪態度表示失望南京組織始終無意承認
page 3	西智兩國恢復邦交
page 3	不容稍弛
page 3	毋庸杞憂
page 3	爾幹風雲緊急大批保國軍隊集中保土邊界德軍源源開入羅國德機又復開到保國
page 5	寶安日軍封鎖邊界連日均有鄉民被捕邊界交通完全斷絕日新兵又增到數百
page 5	佛山日軍大部他調
page 5	新會匪禍
page 5	韶商響應節儲百萬元已開會決定即席紛紛認儲吳季禧個人獨認儲二萬元
page 5	南路平抑米價嚴禁軍警截米收買米店報告存米數量
page 5	粵路加開韶黎區間車協助疏散民眾利便交通票價低廉全為平民設想
page 5	陳耀祖被炸受傷廣虎公路發生炸彈案
page 5	吳季禧儲二萬
page 5	粵東鹽營局指導搶運鹽斤並宣慰東江鹽務人員
page 5	民廳第四科延期改組加緊辦理禁煙善後救濟貧苦斷癮煙民實行聯保嚴查復吸
page 5	由李主席訓話
page 5	紛紛踴躍認儲
page 5	國際風雲險惡粵南海日艦突向南開高須在榆林港召各日艦長會議呂春榮在欽揚言練新軍二萬
page 6	呂部向歐大慶索餉
page 6	日在中山收編土匪
page 6	陸洲河面發現日屍
page 6	唐家灣日隊長被刺
page 6	粵軍政近況余司令長官報告
page 6	越南方面
page 6	經濟封鎖
page 6	粵北勘地建倉儲穀省府規定各縣倉儲糧辦法
page 6	糧食問題
page 6	救早運動
page 6	新開路日軍犯蓮塘之劇戰我援軍繞道汾水江將日擊退新鶴江佛兩路運日仍有砲戰
page 7	勸募經過
page 7	各組成績
page 7	繼續努力
page 7	誤傳澳輪停航真相船政署限制懸掛船頭旗
page 7	日決不敢與英美戰爭陳友仁對西報記者之談話
page 7	婦人被竊千金
page 7	報界老前輩李大醒逝世
page 7	髹漆行商津貼工友膳費
page 7	孫家哲太夫人今日下午出殯親友奠儀捐作慈善費
page 7	九江同鄉昨追悼黃季雅
page 7	戰時支銷浩大港府入不敷出七月份稅收僅四百餘萬元政費支銷竟超過六百萬元
page 7	砲兵繼續演習本週演習日期及地點
page 7	古里斯已抵港定期公開演講
page 7	節建儲運圓滿結束銷售儲券達百五十萬比較原定目標超過五十萬元希望僑胞繼續努力自動認購
page 8	深水　大埔道兩賊持械截劫商人事主不廿損失奮力追捕一賊被擒一賊棄械逃去
page 8	攜款獨行
page 8	兩賊截劫
page 8	人贓並獲
page 8	消防副監毛士年老退休
page 8	政治外交家眼中的國際形勢圖解
page 8	新文字與中國文化二
page 8	兩僑團雙十贈旗成績
page 8	水塘存水略減九月份水務報告
page 8	雙層巴士實難行走本港
page 8	秋季馬票之暢銷
page 8	海盜劫兩貨艇
page 8	美僑遵令從速撤退美郵船客位供不應求美政府或須租賃荷輪負責載運輔政司釋疏散英婦孺之計劃
page 10	今日甲組足球兩場東方率師渡海界限街場逢警察星島上山會約瑟
page 10	昨日甲組三場戰績
page 10	二比二光華米軍言和
page 10	本港米價昨日報漲暹米船一艘明日可到港
page 10	青年會會友週年水運陳震南再創全國紀錄千五公尺成績二一五一秒四
page 10	何道生
page 10	公開排球戰訊
