page 1	滇緬路封閉協定期滿
page 2	遠東美僑奉諭撤退
page 2	美艦一批開夏威夷
page 2	英與各自治領密切合作聲　相通並無主從
page 2	法令越南當局抵抗泰國壓迫倘泰國軍隊侵犯邊界越南當局則斷然抵抗
page 2	英駐美大使突然返英
page 2	甘地發表宣言印度對英　何惡意不以暴力爭取自由
page 2	羅斯福認蘇聯係美國之友邦美蘇談判已有成果改善兩國經濟關係
page 2	美國開始壯丁入伍登記登記者約一千六百餘萬人將選五百萬人組織後備隊
page 2	日本魂縈夢想蘇日不侵協定謂終有實現可能日將向蘇提條件
page 2	德軍　到黑海岸土人惴惴不安現正揣測德軍今後動向窺伺南保抑或進侵土希
page 2	傳須磨將奉派赴澳洲任公使
page 2	非洲英屬土加納族致電擁護英國
page 2	美輸出米麥五百噸救濟中國難民又有一批藥物布疋將從仰光運入中國
page 2	盛京輪由滬赴津中途突然駛回原因不明該輸入塢成有人謀破壞　輪
page 2	撤離羅國英僑受鐵衛團苛待
page 2	美禁廢鐵運日命令已於昨日發生效力美計劃動員菲軍應付遠東
page 3	德機前夜在倫敦投彈共二百噸空襲猛烈向所僅見地方所受損失不大
page 3	國府修正內農經三部組織法並公佈社會部組織法
page 3	荷屬東印度趨向倚賴英國以維持現狀對抗軸心
page 3	英國空軍亦炸德國
page 3	第四八六次政院會議修正蒙藏會組織法
page 3	任免事項
page 3	國民體育會議圓滿結束
page 3	在滬一德人被巡捕所捕去聞係與盜銅案有關
page 3	法墨商定移送在法西人係共和黨份子
page 3	桂省府協助僑胞返桂
page 3	美國一星期內輸入大量黃金共值三千餘萬金元
page 3	晉榮河懸苦力獻金
page 3	西安焚毒價值百餘萬元
page 3	地中海英意海戰意艦多艘被擊沉
page 3	遠東兩件事
page 3	已有誠意
page 3	第五縱隊傳聲筒
page 3	中英加緊合作在商討中
page 3	英輪損失數已大減
page 3	皖南戰事仍激烈贛北奉新西郊展開激戰豫北我軍連日進襲沁陽
page 4	血汗凝成血汗之作嫦娥奔月的艱苦
page 5	日軍犯南北水受挫
page 5	日機分向各地狂炸
page 5	各地發現反日文字
page 5	日艦十餘艘由京開返珠江連日在江口外演習
page 5	粵將設社會局
page 5	南三順各地日軍換防佛山連日拉伕
page 5	惠屬匪風尚熾河道交通大受影響中山寺排嶺等處時有截劫渡船事
page 5	日訓練跳傘隊某國人擔任教練
page 5	台山民眾慶祝實施新制分區舉行慶祝大會
page 5	韶昆電話通話
page 5	桂省籌組中越文化工作同志會推程思遠等為籌備員發起人昨召開談話會
page 5	湘米千餘擔運桂平糶桂林糧價已回跌
page 5	軍委會政治部設桂林經理組徐福海任組長
page 5	政視團之行蹤
page 5	粵驛運下月開始實施從速修路募伕縣長兼任收　長決增辦沙龍線利便國際運輸
page 5	粵省各界踴躍認購儲券已達四百萬元
page 5	粵府複查戶口限年底複查完竣
page 5	中山團隊克復大小霖日軍進犯乾霧南北水受創海防軍隊長吳某飲彈斃命台鮮兵千餘人開抵香洲前山
page 6	財政收入
page 6	戰區經濟
page 6	金融狀況
page 6	寶安日軍佈置海面防務強迫鄉民修築寶赤公路文化侵略之進行
page 6	修築寶安公路
page 6	今後進兵動向
page 6	文化侵略政策
page 6	廣東振濟會加緊救濟義民港澳廣州灣義民源源抵韶搶救南海順德戰區內婦孺
page 6	救護工作
page 6	黃文偉氏
page 6	廣東政治
page 6	提高囚糧
page 6	增撥教費
page 6	第一六九次省務會議提高各縣因糧案交付審查貿易管理處設蘆苞辦事處
page 6	訓練期間
page 6	普通常識
page 6	港僑抵韶
page 6	更調縣長
page 6	禁煙工作
page 6	整理舊稅增加收入加強戰區對日經濟反對封鎖廣東政治年來已大見進步
page 7	航業界解釋港灣商船停航原因貨客日少燃料漲價環境變遷無利可圖
page 7	貨客日少燃料漲價
page 7	數月前貨運極擠擁
page 7	肉行生意大受打擊
page 7	省澳貨運恢復商人租賃盤艇運輸
page 7	賽跑馬區負重新例明年一月一日起實行
page 7	美總統船絕無招僱華工
page 7	東華醫院義學並無派員募捐各界須防匪徒棍騙
page 7	警司巡視新界邊境一帶安謐如常
page 7	英慰勞會獻車匯款英倫代辦
page 7	露宿救濟會籌建兩收容所
page 7	報界老前輩孔仲南逝世
page 7	五賊冒認老友賺門入劫樓梯台住戶一老婦觸賊怒竟被刺破頭盧損失現金首飾共值二百餘元
page 8	第六批義民離港返韶公費五十一名自費廿餘名
page 8	茶客賴婚疑案女招待馮玉荷敗訴原告所供僅屬一面之辭絕無旁證不能發生效力
page 8	防空設備
page 8	戰稅局將遷徙十九日起停止辦公三天
page 8	少婦投海獲救富家　　五十金
page 8	廚子斫傷同侶案公審原告兄弟述被告行兇經過
page 8	白雲故鄉定期在港公映
page 8	美攝影家談中蘇公路交通利便　馬汽軍絡繹不絕蘇汽油價較美平廉
page 8	商會贈放義款又　到八百餘元
page 8	霍亂症漸消滅去　僅發生十六宗
page 8	立法財政兩委會　會議將追加防空費百萬元限十八個月完成整個防空計劃使百萬市民遇空襲時有所保障
page 10	埠際游泳對抗菲方決定來港域多利已接到來電
page 10	全港華人水上競技宵來二次預賽成績
page 10	域多利渡海泳李寶聯被阻礙南華抗議無效
page 10	本屆足球季大告決不復出
page 10	青支會舉辦籃球義賽
page 10	售貨員的普通學識二
page 10	體協會去函挽留光華退出光華已將退志打銷
