page 1	進退維谷的日本
page 2	美對遠東施行具體強硬政策
page 2	滇緬路開放第一日貨物源源運入日間行車亦無危險臘戌施行空防制度
page 2	越督德古飛往順化
page 2	歐洲糧食缺乏情形
page 2	里賓特羅甫亟望日本參戰用種種手段鞭策日本又慫恿英美迫日戰爭
page 2	英陸相艾登親到埃及視察並與華威爾將軍會議討論較重要作戰計劃
page 2	英政府絕無意遷離倫敦亦無意強迫疏散
page 2	荷印被迫與日訂約供給煤油於日規定荷印在六個月期內供給日需煤油百分四十
page 2	傳蘇得報告德意欲保護巴爾幹諸國以防蘇聯勢力侵入
page 2	鍾士與宋子文會商繼續經濟援華計劃再貸我鉅款並向我多購原料
page 3	美競選劇烈韋爾基又抨擊羅斯福謂羅斯福倘下屆再獲選美軍勢難避免赴歐參戰
page 3	德機繼續襲擊英倫
page 3	英機繼續炸擊德國
page 3	有人賄賣菲律濱某項軍事計劃為當局發覺捕獲嫌疑犯數名
page 3	歐洲許多難民集於葡國準備赴南北美
page 3	日機連日飛渝轟炸市內僅存之教堂亦被炸毀
page 3	愛列兩國輪船被英扣留蘇與英外相詳談蘇大使提出抗議
page 3	英創製小型軍艦威力無異大艦
page 3	童子軍勸募寒衣
page 3	美哈特大將由滬赴菲
page 3	甘地黨徒文奴巴傳已被捕
page 3	滬電車工潮仍未解決
page 3	維士政府對猶太人排擊禁猶太人作投機事業
page 3	上海楊樹浦罷工工人暴動襲擊巡捕及印捕
page 3	上海愚園路日軍官被刺傷
page 3	滬北站發現手溜彈
page 3	羅斯福將接見加總督
page 3	英國會將展期
page 3	德潛艇多艘拆散運往羅國
page 3	倫敦疏散校童已疏散五十萬
page 3	荷駙　代表荷印向英獻款　機可　機五十餘架
page 3	岷尼刺海軍家屬準備隨時離境
page 3	英拳術家考活特氏來港轉往澳洲昔尼
page 3	泰國訪問團由檳角抵星洲受當地政府款待
page 3	鞭策也是無用
page 3	桂省府救濟旅越義民
page 3	滬大陸飯店經理被刺當即身死
page 3	羅斯福定期發表競選演說
page 3	英哈活特爵士任海軍部總監兼海軍副參謀長
page 3	贛北我出擊秦功鄂中衝入仙桃鎮信陽西南迭克據點多處
page 5	蘆西線
page 5	四三線
page 5	禪炭線
page 5	攻白坭
page 5	中央敦促蔣光鼐就軍職徐景唐到港勸駕並巡視東路防務
page 5	日軍又竄擾黃屋村
page 5	欽縣我軍又出擊小董外圍激戰日　　黃屋村災情慘重
page 5	粵糧管局組織大綱辦理調查管理購銷糧食下設五科一室分掌工作
page 5	日軍在華南積極練跳傘隊一期結業二期開始
page 5	惠陽吉平鄉捕賭風波軍民誤　發生衝突六區民眾聯合呼訴
page 5	日軍二千增防深圳市郊外劃分三警備區維持會擬改組警察局
page 5	本年高考十二月間舉行
page 5	潮汕之抽紗業
page 5	桐油出口近訊
page 5	西江日軍連日蠢動楊梅橫崗相繼發生激戰日受重創殘部潰退三水西南禪炭線我炮隊施威痛殲日軍
page 6	連日徵集米糧甚多
page 6	兩岸隊兵突起襲擊
page 6	江會線戰事　沉寂
page 6	粵振會撤銷博羅墾區另籌安置該區義民辦法土地交回博羅縣府接管
page 6	財廳厲行稽核各縣稅局帳目省務會議通過查核稅款辦法隨時派員分區輪迴稽核查帳
page 6	某戰區策動救旱辦法官兵機關團體組織救旱隊不許受酎工作費山縣府支
page 6	與寧螟虫害稻
page 6	桂舉行防空獻金
page 6	韶商繳所得稅達七成上年營利稅重行核定過份所得稅不准減征
page 6	梅縣私煙充斥
page 6	游擊區域棉紗運粵辦法
page 6	桂募寒衣情形
page 6	三水縣境設義民收容所
page 6	石岐日軍準備他調我游擊隊截獲日大批軍米造貝日軍砲擊婆羅島將軍山中山台鮮兵一部調容奇大良
page 7	運輸商人極形活躍
page 7	增派輪船開赴仰光
page 7	紐約時報記者亞賓特昨過港先赴星洲採訪新聞
page 7	疏散婦孺生活費將在澳洲支付
page 7	兒童劇場籌委會今會議
page 7	華警受賄疑案押候下星期再審
page 7	秋季馬票今日下午開彩頭獎可望得十七萬元各場賽馬成績之蠡測
page 7	美亞洲艦隊哈特其夫
page 7	港義勇軍演習
page 7	住聯會贈醫處增至二十四間
page 7	酒店工人自縊　　不能為活
page 7	新文字學會舉行會員登記
page 7	滇緬雖開放港禁運軍火令未撤銷須視外交談判結果如何而定輔政司史美昨對記者之談話港緬貨運擠擁船位預定一空
page 8	港陸軍司令部哨兵轟斃一人死者深夜潛入軍部
page 8	廣大學生　歡迎美救護團
page 8	尚有多　未逞　辦法官商意見亦
page 8	車輛失事統計
page 8	臬庭判決刑案十宗九龍巨竊案被告入獄兩年半慈雲山械劫案兩犯須受笞刑
page 8	防空當局將建可容萬人防空洞地點已擇定西營盤附近
page 8	三賊冒差劫艇
page 8	華探被控毆人官　無罪釋放
page 8	少年跳樓自殺
page 8	羅拔遜畫展會開幕以歐西書法寫東方景物技術精　觀者　予好評
page 10	今日甲組足球賽華軍兩路出師東方主場迎擊九龍南華下山戰米杜息
page 10	東方迎戰九龍
page 10	南華對抗米軍
page 10	三項成績破空國紀錄吳年何惠瓊分獲男女百咪冠軍二百四人接力海天團壓倒群英
page 10	公開排球賽南南今戰漢中
