page 1	德近東政策之發展路線
page 2	滇緬路修路工程敏捷冇等路橋確受日機損害但兩日間即可改建一橋
page 2	日關東軍司令官易人
page 2	彭德曾等減刑
page 2	各大學院校決將補招新生
page 2	英大使館勸告日軍佔領區內英僑應　離境但並非係強迫性質
page 2	美施行加速造艦計劃縮短所需時間百分之十二
page 2	日本郵船公司　美郵生意由滬赴美客腳較諸美輪為平
page 2	羅斯福不接納韋爾基之挑戰羅斯福已返京準備演講草稿
page 2	兩件國際趣事
page 2	日內閣將改組
page 2	行政院會議議決綏省對局部改組命陳恩元任桂林市長
page 2	滬西發生綁案
page 2	國大籌備委會組織條例國府制定公佈
page 2	浙西日軍流竄企圖已被我軍完全粉碎乃為皖南戰後之又一勝利
page 3	英機飛德轟炸著重軍事區域以削弱敵人侵略力量柏林非軍事重要中心
page 3	對於獨裁國家美並無意安撫布立特在芝加哥演說似係得到美當局示意
page 3	德軍侵入羅國蘇聯向德抗議蘇土秘密會議不確南國被迫與德簽約
page 3	德意日三國商定組織技術委會包括軍事經濟等等執行盟約所負義務
page 3	意機首次襲擊開羅近郊鐵路略受損害
page 3	英首相廣播演說激勵法國人民英現決心消滅納粹瘟疫希望法人找尋工作機會
page 3	西印度自由聯會抨擊　運動
page 3	美潛艇　件一部運港
page 3	日內閣將改組目的強化戰時內閣地位以應付太平洋緊張局面
page 3	亞洲美海軍家屬奉令完全撤退
page 3	烏拉圭向美商買逾齡驅逐艦
page 3	美海軍購買貨輪五艘以供應國防之用
page 3	艾登抵克拉克
page 3	胡適大使在美將作巡迴演講闡發中國抗戰精神
page 3	羅京發生劇烈地震
page 3	在動盪中的希臘
page 3	波蘭海陸空軍與英比肩作戰波蘭總理發表演說希望英波友誼密切
page 3	日荷談判純粹係經濟範圍雙方共同發表一備忘錄日不再要求荷印領導權
page 5	收復沙井後之影響
page 5	粵最近財政措施狀況調整徵收機構改進緝私業務催收舊欠地稅改善舶來專稅
page 5	中英聯合緝捕海盜
page 5	改善舶來專稅
page 5	積極救濟欽防難童第五保育院移設合浦
page 5	粵省各界慰勞林偉儔師舉行游藝會情形熱烈
page 5	粵查緝煙毒完成禁政指定省保安司令部為查緝總機關各縣設告密匭獎勵人民檢舉煙毒
page 5	檢舉煙毒辦法
page 5	駱鳳翔就新職東江指揮所　主任
page 5	設查緝總機關
page 5	劉專陸抵惠陽
page 5	粵港交通線治安維護辦法各鄉鄉長分段負責
page 5	催收舊欠地稅
page 5	惠陽平糶會請省府撥米二千懈續辦平糶請李彥彬任駐港勸募專員
page 5	調整征收機構
page 5	改進緝私　務
page 5	一千五百萬元
page 5	遵照省務會議
page 5	深圳日軍加緊佈防情形我機又向寶安各地偵察中英聯合防緝邊界盜匪
page 6	粵省劃分十區發展中等學校教育韶梅各區增設女初高中
page 6	茂名調劑糧食情形商民希望　法改善
page 6	日軍侵入後的海防
page 6	陳春鬧抵海防活動
page 6	惠陽久旱逢甘雨
page 6	省行增設東江兩辦事處雲照理赴渝謁孔
page 6	日機轟炸引起交涉
page 6	防止僑胞救國運動
page 6	強人行禮行使軍票
page 6	日增兵睦洲中新邊境緊張江門北街日艦亦集中睦洲河面我國隊實力雄厚準備粉碎日陰謀
page 7	港英郵運暢通無阻郵政司公布各路線及價目
page 7	第七批義民今晨首途歸國
page 7	省港航運恢復無期
page 7	中青救護團售機籌款成績
page 7	住宅聯會籌備施贈寒衣
page 7	灣仔字花廠林立昨又破獲四間並破獲一牌九賭局賭徒廿餘人被拘捕
page 7	英籍婦孺五人獲准留港
page 7	陳寅講唐史歡迎各界聽講
page 7	鄉親過訪突出手槍指嚇老商人被迫給予三百元店伴機警幸將強徒捕獲
page 7	樹上發現縊戶
page 7	迷路孩童待領
page 7	秋季馬票頭彩落一店員手中
page 7	港越互商恢復交通擬以廣州灣為轉口商埠避免港越發生直接關係
page 8	馬會拍賣打比新馬李作禮三千五百金購良駒第二批今日下午繼續開投
page 8	又發現偽輔幣警當局極注意
page 8	稽查員被控毆斃礦工證人力證目擊被告行兇
page 8	華籍炮兵失蹤
page 8	誤殺魯警疑案英警目無罪省釋
page 8	澳門輪船運來一批牲口
page 8	陳翰笙將演購中國社會組織問題
page 8	初級法庭提審三萬元貨物被盜賣案主控律師宣述案由案情複雜押候再審
page 8	建國畫史展覽今日在港舉行
page 8	婦慰會招領獎品
page 8	麵粉被盜
page 8	三　至將軍澳駕艇
page 8	運煙出口
page 8	宣述案由
page 8	走避敵機演習俟各防空洞完成即舉行
page 8	肺癆症之可怖一週內死百餘人
page 8	市政衛生局決議嚴飭酒樓設水面小食物店糞坑亦須大加改良如不遵辦一律停發營業牌照
page 10	夏令暨銀牌籃球今日舉行頒獎加插兩幕表演賽
page 10	中青會勵進泳團定期舉行六週年水運一連三天秩序豐富
page 10	週末籃球義賽各參加隊伍實力檢討
page 10	籃球聯會今日召開會議
