page 1	歐陸集團之展望
page 2	傳陶德曼赴渝發動和平攻勢
page 2	美人甚少相信中日和平之謠
page 2	勝利希望微薄德國人心已大為頹喪糧食困難民心最受影響有人公開抨擊納粹領袖
page 2	英與捷政府締結軍事協定英將以財力助捷臨時政府發展軍事力量以參加作戰
page 2	日機兩批侵擾陪都
page 2	維士政府准許越南關稅自主表示越日經濟更為合作
page 2	莫洛托夫接見建川
page 2	緬總督歡宴戴院長
page 2	蘇垣日軍官厭戰自殺
page 2	新絳西北日軍受創
page 2	英東方屬土會議已辛德爾希舉行儀式甚簡單免虛耗時間從速討論各項重大問題
page 2	傳筱庵今日舉行出殯
page 2	星洲法庭開審蓧崎間諜罪案
page 2	泰越談判已陷僵局泰頒緊　命令統制出入口貨
page 2	泰內閣舉行秘密會議決授權於國務部長盡力推行政府政策
page 2	多瑙河會議昨在羅京舉行蘇聯被邀旁聽
page 2	京滬路被我炸燬數段
page 2	德在遠東施展陰謀企圖打破英美合作羅斯福對遠東時局極為關注
page 3	侵入埃及意軍略有進展英在埃及集中重兵準備與意軍作激戰
page 3	二十八年高等考試及格人員銓聚部已分發完竣一
page 3	意國空軍參加轟炸英倫表示德意進一步合作將來意或參加攻英倫
page 3	猶太難民五百遇船覆沉賴一意輪救獲
page 3	美投彈瞄準器傳已讓於英國
page 3	英空軍炸擊法國沿海岸
page 3	美志願軍指揮官史溫尼上校發表談話不列顛為此次大戰中之凡爾登又係抵抗野蠻壓力之唯一柱石
page 3	羅斯福總統忙於應付時局雖在選舉運動極緊張時彼之行動亦不遠離首都
page 3	日荷談判尚在進行
page 3	教皇向各國接洽和平
page 3	渝金融實業界合作發展西南建設聚餐座談會第一次集會
page 3	皖中我軍進迫壽縣浙東日軍出據被擊
page 3	日台鮮總督似將易人
page 3	不容喘息
page 3	今日的秦始皇
page 3	傳法政府決定接納德國要求組織新歐洲秩序
page 5	連日分批調往
page 5	粵省禁酒辦法除醫藥用酒精類外釀運販飲者均處罰
page 5	增城戒嚴米糧價格飛漲
page 5	公立各院校將補招新生僑生參加補考仍未錄取者可由教部核發先修班款
page 5	粵籌設酒精廠
page 5	盜賊異常猖獗
page 5	日兵換防之際
page 5	美艦過汕幾釀成事變日限制美兵通過安寧碼頭發生衝突美艦趕到始停息
page 5	美艦過油發生衝突
page 5	國大代表選舉總事務所公佈記者複選結果陳　修等十一人當選
page 5	大捕市民
page 5	炮轟馬窖聊以壯膽
page 5	運到軍實甚多
page 5	袁帶派隊保護都斛航行
page 5	粵參議會第四次大會籌備忙因選舉參政員提前舉行上次決案政府多已實施
page 5	瓊崖難民待賑
page 5	瓊崖方面
page 5	欽縣戰事
page 5	防城企沙大村等地日軍秘密落艦他調粵桂邊區我軍襲擊那問獲勝瓊崖訓練新兵準備騙日出境
page 5	三水東區晚造收成無望救旱已趕不及
page 5	博羅匪擄婦女
page 5	粵省新標語
page 5	軍政重心
page 5	瓊豫新兵
page 5	寶安日軍連日調動真相實係新兵改換訓練地點傳有戰事及撤離均不確鹽田海面盜匪猖獗近訊
page 6	熱烈討論
page 6	奸商操縱
page 6	赴湘日記一
page 6	督種雜糧
page 6	宣佈辦法
page 6	降下大雨
page 6	六邑國民兵協訓會議多期施行普訓集訓工作
page 6	南路糧鹽價格已漸告平復各縣當局舉行提放大戶存糧鹽務局說保證供給各地鹽斤
page 7	運續兩晚管制燈火
page 7	賊艇八艘追擊漁船一老漁人中彈慘死
page 7	港府修正與敵通商法例
page 7	海　交通暫時停頓
page 7	住聯會將易名
page 7	警司頒佈停車場則例並劃定港九各區停車場
page 7	青記會將舉行二週年紀念會
page 7	留港藝人組織藝協會高劍父吳　鶴　發起
page 7	炮兵積極演習本　操演日期及地點
page 7	太平山腳防空洞預算可容萬人工程浩大已加緊挖掘第一個洞口在東邊街
page 7	粵戲劇宣傳團第三分團今日出發
page 7	買賣人口被罰
page 7	港政府委任令
page 7	羅伯生演講化學戰術
page 7	下週燈火管制演習對舟車燈火特別注意過海輪僅天星仍准開行各線小輪均須整夜停航
page 8	海傍歹徒強搶貨物三五成群伺機面發過往客商多受其害
page 8	西安輪昨停航因代船主　逝世
page 8	德怎樣剝削他的鄰邦斯塔司女士撰英　軍情報局發
page 8	汽油統制新例汽油站只准供給車輛汽油
page 8	改良清糞辦法短期內可實行
page 8	公地定期開投
page 8	金陵舞廳義舞下月十一晚舉行
page 8	兒童劇場定下月十七日公演
page 8	港府劃定竹園西道界線
page 8	華警被控勒索押候廿九日宣判
page 8	鶴山發生牛瘟旅港鶴山商會　到報告
page 8	接贓犯被重罰
page 8	港府毅移民　僅係　非常時期國際戰爭德意　取銷該局　法　討論
page 10	今日甲組聯賽星南大戰爆發不亞於去年東南大戰
page 10	昨日甲組聯賽東方會大破香港會蘇軍海軍言和米軍挫聖　瑟
page 10	鐘聲週年水運
page 10	德權鼎聯賽今日又有五戰
