page 1	日軍退出南寧龍州
page 2	傳德意決定與法重訂和約希特勒最近會見賴伐爾希已向賴提出苛酷條件
page 2	閩僑商李清泉澤及難民遺產美金十萬捐出撫養難民
page 2	美政府注意遠東時局變化仍繼續施行撤僑計劃
page 2	楊　愚捐資興學國府明令嘉獎
page 2	蔣委長嘉獎鄒琳
page 2	莫斯科外交界極為活動
page 2	中航機重慶號被擊落已證實美　駕駛　氏及搭客六人俱斃命
page 2	美增強國防力量八十萬人入伍第一批入伍開始抽籤兩美籍華人抽籤入選
page 2	土肥原任新職
page 2	蘇大使捐我寒衣
page 2	滬又發生綁案
page 2	德　集中炸擊英內地各城鎮利物浦落多彈地方損害甚微
page 2	美郵船門德星號已抵橫濱定昨夜啟程赴滬載遠東美僑返國
page 2	德國大軍源源向東移動南吳邊界駐守許多德軍蘇聯顯已不安亟謀應付
page 2	桂南我軍進入南寧浙日軍向蕭山潰退
page 3	土國對於意希戰爭將維持不對敵地位
page 3	意報宣佈與希開戰
page 3	希臘軍隊踴躍赴戰
page 3	大批意軍在阿登陸
page 3	意國否認曾炸雅典
page 3	亞力山大發表演說
page 3	贛茶豐收
page 3	美國共和黨為什麼看中威爾基
page 3	美軍庫大廈發生大火起火係由密碼室
page 3	英購械委會代表與美當局密談料係與天空砲台等有關美決定進一步援助英國
page 3	堅尼地廣播擁護羅斯福當選下屆總統
page 3	日將妥小林躋造任駐美大使小林係親美派
page 3	對希意戰爭日態度仍徘徊不定謂根據條約日有援意義務又謂要考慮日意地理關係
page 3	越南與日簽立運輸協定便利日軍調動向我進攻法日商務談判在進行中
page 3	日傳滇緬路湄公河橋被炸我未獲證實報告
page 3	日輪一艘抵墨載大批軍用品
page 3	美菲商議菲島國防擬利用菲存美貿金供給軍械於菲律賓
page 3	意大利的文明
page 3	日本外交人員苦矣
page 3	又是謠言
page 3	日通訊社造謠謂我擬改　外交政策
page 3	意軍仍作試探戰尚未下主力攻擊希山岳師團擊退意軍英艦隊現已駛近希臘
page 4	伊秋水返港　談話南洋僑胞愛國情緒極濃抗戰的戲劇電影最受歡迎
page 4	高魯泉專看女人下部可斷肚裏雌雄
page 4	吳楚帆愛看西片並非為了消遣而是為了學習
page 5	當有新發展
page 5	民航機一架
page 5	主任劉智陸
page 5	傳廣州灣將開放貨運日人請求局部恢復貨物運輸大批日貨即可運廣州灣傾銷
page 5	傳說雖盛但非事實
page 5	贛當局准許米商自由運米來粵大批湘米將抵東江中央注視米鹽互消
page 5	租界禁運情形近誌
page 5	附日商人積極活動
page 5	首批日貨運灣傾銷
page 5	日人要求局部開放
page 5	附日軍改編
page 5	岐　車被劫
page 5	貨運突停止
page 5	我大軍控制中山白蕉新開新鶴江佛各線日軍略增灣仔日軍昨又禁止中澳貨運
page 5	英輪復航後之交通
page 5	粵整頓計政訊
page 5	日機降落西營機場
page 5	粵府禁征變相國稅取銷游擊隊設卡就地籌款
page 5	日檢查員被撤離灣
page 5	東增日軍趕築戰壕傳我李林等師將反攻
page 5	深圳日軍昨砲擊民航機幸無損害徐景唐劉志陸巡視東路均已於前數日相繼返韶
page 6	衝入龍州
page 6	欽防方面
page 6	形勢險要
page 6	高雷沿海
page 6	內部派員視察粵省禁政甘違才抵韶關
page 6	赴湘日記五
page 6	第三視導團懲獎河源公務人員龍門縣長等愛護將士受獎
page 6	港澳僑胞陸續抵韶中振會設東江難民運輸總站旅美僑胞投資設難民墾殖區
page 6	番禺沙田征保護費近訊
page 6	政視團抵台山
page 6	改善東江郵運
page 6	後宮淳抵廣州將赴瓊晤澤本
page 6	五邑經濟會議
page 6	粵省擴大儲蓄運動儲額增至四千萬元
page 6	我軍再攻入龍州城詳情扶南竹根洲劇戰得失數次現無日蹤水東梅菉被炸電自　面日艦搜外輪
page 7	首夕演習成績不佳
page 7	違例市民八人被罰
page 7	敵機兩次進襲市區
page 7	假想敵機到處擲彈
page 7	招投修葺廟宇
page 7	探海燈向海口照射
page 7	九龍方面災情亦重
page 7	婦慰會餐舞會籌得三千餘元
page 7	護士聯會成立江清波任主席
page 7	醉漢歐傷防空崗長
page 7	商賑會昨會議
page 7	保良局兒童將遷往難民營
page 7	記者學會三屆會員大會今日在溫莎餐室舉行
page 7	東華院門診部逢星期日停診
page 7	廣州灣來客談目擊日艦卅艘南駛似係從廣州或台灣開往水東海面有一航空母艦
page 7	謀殺疑案註銷
page 7	提前售賣罌花
page 7	疏散顧問委會星期六日開會
page 7	連續性防空演習昨晚成績已較良好各區市民均能嚴密管制燈火假想敵機一度闖入市空投彈
page 8	持械入店勒索案初審英警官述拘捕被告經過
page 8	不列顛之戰顯出民主國的精神
page 8	滯留海防之貨物越當局不准運回本港貨主現正籲請通融辦理
page 8	灣仔又破獲兩字花廠疑犯一人被拘訊辦
page 8	民生書院管理財產糾紛會審法庭押候宣判
page 8	車輛失事統計去週死四人傷二十五人
page 8	輪客患霍亂症某英輪開行被阻
page 8	尖沙嘴彌敦道富商住宅發生巨竊案失贓均為現金首飾約值三萬元一傭婦同時失蹤探認為可疑
page 10	勵進游泳團六屆週年水運今夕起一連三晚舉行
page 10	學界籃球賽明日開始報名
page 10	中華體協會今日召開會議討論要案多項
page 10	國際長途跑參加者百餘眾
page 10	社團近訊兩則
page 10	華人旅行大口環
