page 1	地中海海戰將擴大
page 2	德意蘇外長將舉行會議
page 2	多瑙河問題英蘇起磨擦
page 2	建川抵蘇後談判無進展
page 2	德法協定難成魏剛反對割棄屬地柏林人士大起反感
page 2	土報一致贊揚總統演說
page 2	法政府新禁令不得侮辱元首又禁人民聽英廣播
page 2	達發表評論攻擊瑞士報紙責　謂意為侵略國
page 2	阿根廷準備擴軍
page 2	西外長與德大使會談
page 2	倫敦未發警報為八星期來所初見
page 2	斯末資將軍巡視東非前線
page 2	意外相指揮一隊空軍炸擊薩羅尼加
page 2	颶風襲關島人民財產損失重大
page 2	進入阿境希軍開始合力向意軍反攻傳德準備援助意國壓迫希臘集合羅境德軍達十八個師團
page 2	納粹魔手下歐洲各被征服團真相波人受虐最甚丹人受虐最輕奧捷人民怠工法比人思反抗
page 2	社會部改隸政院
page 2	英美郵船兩艘由滬開行　運美僑返國
page 2	傳德潛艇擊沉英艦兩艘
page 2	湘省推行獻機運動
page 2	積存海防貨物中法商議處置
page 2	希輪仙奴士號在滬被日扣留
page 2	寧波發生鼠疫當局已將疫區　離
page 2	在滬被扣外輪繳罰款獲放行
page 2	中共領袖多人電慰尼赫魯希望其早復自由尼赫魯不肯作供
page 2	德意努力籠絡蘇聯美傳德將提停戰條件我將再派孫科赴蘇商合作蘇意對巴爾幹問題未一致
page 3	對日政策羅韋一致
page 3	桂我軍抵欽州以北鎮南關郊外仍激戰
page 3	芮城附近日軍肅清
page 3	美艦監視加海法島
page 3	重慶機案經過正式報告美國
page 3	豫南戰事激烈進行
page 3	浙東恢復戰前原狀
page 3	滬日軍阻止巡捕捕盜中西巡捕多人竟被扣留工部局向日方提出抗議
page 3	美大選形勢混沌擁羅派仍佔多數工界傾向將左右選舉局勢競爭目標集中各大工業州
page 5	民眾奮起參加兜截
page 5	日兵潰竄東匡被殲
page 5	欽縣日軍下令戒嚴
page 5	日機大炸不東梅菉
page 5	六省糧鹽會議閉幕解決調節互濟運輸屯儲問題余長官李主席經公畢返粵北
page 5	粵省府一七四次會議規定公營民汽車票價派黎卓仁代理白沙縣長
page 5	防軍動員準備應變
page 5	廣州灣之近況日人籌設公司統銷日貨改組商會現尚難成事實
page 5	滿載鹹魚
page 5	手段之一
page 5	　　公司
page 5	於我有利
page 5	佈告原文
page 5	廣東評價會改組近訊商人希望予以便利
page 5	北江民食現況
page 5	河南工廠近況
page 5	副總公使
page 5	粵南欽縣日軍準備退竄桂邊軍民截擊日兵斬獲甚眾大高峰　殘日二千餘被圍殲
page 6	桂財瘡痍滿目省府辦理善後決先擬款五百萬元救濟難民恢復交通
page 6	綏署省府佈告安民
page 6	戰地民眾救濟辦法
page 6	涂思宗抵韶關
page 6	中山日軍續增婆蘿島祠廟多被封閉望月部隊將轉調江會
page 6	撥五百萬辦理善後
page 6	黃主席赴前線宣撫
page 6	沙頭角日軍昨晨進擾鹽田交通線停頓數小時
page 6	財政部公佈禁止進口物品項目取締商號吸收存款辦理匯兌
page 6	烏石港哀鴻遍野六千餘難民亟待救濟當局發起募捐救災運動此次損失總額達千餘萬
page 6	附近各村被炸極慘
page 6	烏石港之災情調查
page 6	粵省促進集團墾荒省府飭令各鄉保組墾荒協會墾荒借款千萬各行認定借額
page 7	海盜又截劫兩貨艇擄去一人槍傷一人艇上貨物搜掠一空
page 7	既劫貨物復擄一人
page 7	亂槍之下一人受傷
page 7	西環海面輪艦相撞明珠小輪受傷沉沒船員九人幸均獲救
page 7	軍械廠華工請訂優卹條例主管長官極表同情
page 7	中華基督教青年總會積極救濟流亡學生設香港等十六分站實施各種救濟辦法
page 7	又破獲一賭局
page 7	流落新界難民宜即送回內地賑聯會某委員之意見
page 7	日僑一批昨乘輪返國朝日新聞記者熊本亦離港
page 7	國防公債還付三期本息
page 7	大批菜蔬抵港市價可望回跌
page 7	本年雨量將創新紀錄
page 7	藏大批偽幣案兩被告詳臬定讞
page 7	各區生果攤未准延遲收市仍受節省陽光法例限制
page 7	僑胞假道仰光回國領取護照極為困難因仰光政府嚴厲限制外人入境我駐當地領事已力請通融辦理
page 8	拍賣郵票賑災
page 8	菜販被毆重傷
page 8	竊邊境防禦物四人被重罰
page 8	赴望加錫僑胞
page 8	灣仔建防空室採用安迪生式
page 8	第五縱隊在英失敗了
page 8	行使偽幣疑案押候星期五再審
page 8	塌屋傷兩老婦
page 8	展拓市區計劃實行港府在粉嶺闢新墳場決遷葬港九各墳場骨殖增築新路交通不虞困難
page 10	罌花節足球義賽總會擬定辦法闢設特等位二百餘決嚴格制裁炒票
page 10	港僑團體籌辦足球義賽
page 10	記者體特會昨開聯席會議明日旅行元朗
page 10	中青水運有期
page 10	校際小型球賽九日揭開序幕
page 10	　團體重新加入協會須俟協會函復方能決定
