page 1	蘇外長赴德報聘
page 2	英空軍助希痛炸意軍事目標
page 2	意用跳傘隊增援被圍困各軍
page 2	維土政府稱英艦在立帕利威爾城掩護法自由軍登陸當地維士政府軍極力抵抗英海軍部否認有此種　動
page 2	英潛艇擊沉兩敵艦
page 2	英國海軍炮火力節譯愛律　雀克斯少校所著
page 2	美議員溫丹堡呼籲團結擁護羅斯福為領袖以完成軍事上準備
page 2	張伯倫畢德門先後逝世
page 2	蘇聯租借美輪已獲美國批准
page 2	羅國發生強烈地震羅王官外交部俱受損害一大廈震毀生葬四百人
page 2	紐約職工聯會請柳維士辭職實踐大選前諾言
page 2	最近一週中英空軍轟炸德國投下炸彈有若干噸工廠輪船損失重大
page 2	英機炸明　時希特勒適在場英飛機集中多架向該城猛烈轟炸
page 2	倫敦上空已趨寂寞
page 2	美國人踴躍從軍登記人數超出預計
page 2	夏威夷美艦一部駛西海岸港口利便艦員休息
page 2	柯立芝輪返美駛經神戶
page 2	匈納粹黨人密謀傾覆政府警當局大搜黨人住宅逮捕多人克林馬被控
page 2	英陸相艾登視察中東經過旅程一萬五千英里會晤各方軍政領袖
page 2	羅斯福改定感恩日期提早一星期舉行
page 2	勸儲宣傳週全國同時舉行
page 2	南京財部顧問袁季安被砍斃
page 2	侵希意軍不濟至此阿爾卑師團全被消滅希軍越過六千尺高山搜索敵人意改派索杜將軍為遠征軍統帥
page 3	日軍侵華三年餘死傷數達百萬耗戰費一百六十萬萬較日俄戰費多至十倍
page 3	邕外籍教士重睹天日日軍對之橫加侮辱我克邕寧始復自由
page 3	日使節一批返抵東京
page 3	多屬綁匪傳式說之子獲救
page 3	邱吉爾賀羅當選美智識界多人主張全力援英
page 3	邱吉爾演說決不背棄盟友仍替法荷捷比等掙扎勝利後恢復各國自由
page 3	劫後的南寧一
page 3	澳海軍清掃水雷
page 3	戰事爆發後日警補充難屢次徵募應者極少
page 3	越南法軍熱望自由三人　　　　　將轉往　倫敦
page 3	國父誕辰展會在渝開幕
page 3	滬英使館情報處放映戰事影片觀者極為踴躍
page 3	南埃蘇丹加沙拉意軍亦遭慘敗外約旦王訪問埃及巡視防務檢閱英軍
page 3	蘇聯動向可注意莫洛托夫昨親訪柏林蘇認此舉表明德蘇無裂痕行期未宣佈傳明日可抵德
page 3	浙我軍進逼蕭山安義西南日軍被我壓逼宜昌日軍犯南津關不逞
page 5	江會戰事日趨緊急
page 5	彭部協助整理團隊
page 5	附日軍犯浮墟不逞
page 5	台山當局嚴禁日貨入境公布查禁貨條例違者處徒刑或死刑
page 5	番順境內匪盜猖獗濠滘河面兩劫案
page 5	副島飛瓊
page 5	後方運輸禁用汽油
page 5	省澳輪船復航無期日輪亦未開航
page 5	粵省戰時貿易
page 5	順德縣長蘇某路逢剌客
page 5	四會鄉民生活近況晚造歉收米價已漸漲威整墟之淘金沙工作
page 5	新開新鶴線情勢愈緊中山日軍急調江門增援睦州又發現日軍古井尚安謐附日軍犯中山浮墟被我擊潰
page 6	提案
page 6	財政
page 6	振濟
page 6	省行
page 6	一七六次粵省務會議收容潮港失學學生籌劃建築韶關新住宅區准貿易處設蘆苞辦事處
page 6	增設班額收容失業
page 6	建築韶關新住宅區
page 6	日機又犯台山廣海斗山落彈
page 6	獎勵儲蓄提高節儲券利率
page 6	地政
page 6	鹽務
page 6	粵參會第五次會議女參議員促當局迅速禁娼本省娼妓應與煙賭同時並除財廳振濟會等均有重要報告
page 7	登記之後往來便利
page 7	領居民證並非創舉
page 7	吳敏墀昨返港梅芳學生開會歡迎
page 7	唐紹儀葬地糾紛未了唐榴決意上訴增聘大律師協助進行將由高級會審庭複審
page 7	西區小販分會新職員昨就職
page 7	兌換紙幣遇盜搶匪人贓並獲
page 7	澳越航運日漸繁密又有六輪加入該線行走大批糧食由越運抵澳門
page 7	窮漢偷蘿蔔被毆重傷擅　私刑實至殘忍警探當局緝兇嚴辦
page 7	北約理民官自用汽車被盜
page 7	本港移民法例擬明年一月一日施行先辦理出入口僑民登記居留不去者不強迫領證
page 8	洞中可容汽車行走
page 8	增加工資務求連成
page 8	粵教廳召回軍事教官
page 8	我國工合社的運輸事業
page 8	飛機模型比賽昨在九龍舉行參賽飛機凡百餘架看熱鬧者五千餘人
page 8	崇正會新職員昨日宣誓就職胡文虎發展會務計劃
page 8	金陵舞廳義舞今日下午開始
page 8	橫瀾海盜圖劫貨艇鎗傷兩人九針島又有一貨艇被劫
page 8	第一批桂僑短期內可返國
page 8	今日為罌花節紀念儀式停止舉行
page 8	汽車墮坑傷人
page 8	汽車撞死路人
page 8	廿一個防空洞限本年底建築完成其餘三十九個亦將陸續與工卜公花園一洞最大可行汽車
page 10	今日罌花節足球義賽港聯戰軍聯下午四時會師愉園前奏曲記者對球證
page 10	南華大破若瑟
page 10	南華昨輕取聖若瑟蘇皇軍勇挫警察會
page 10	三比一蘇軍擊敗警察
page 10	長途跑中華健兒顯威風李玉峰壓倒群雄女子廖瑞蘭名列第一
page 10	中華體協會陸運大會有期
page 10	德權鼎小型聯賽四組冠軍昨產生
page 10	美艦籃球隊犯港擬定比賽三場
page 11	英國的主力艦上
page 11	　女逃情記七一
page 11	戰火
