page 1	為工合運動者進一言
page 2	日報又欲乘機再作和平攻勢
page 2	德外長將赴意再謀疏通意蘇
page 2	巴本將回土京通告柏林談判
page 2	蘇評日美衝突僅為時間問題
page 2	喚起美國注意美應從速接納英要求予英較多之物質援助
page 2	英空軍大炸漢堡
page 2	埃及新閣成立謁誠擁護英政府
page 2	哥溫德裏被炸慘烈
page 2	月夜德機大炸倫敦
page 2	羅斯福宣佈美對意希戰爭守中立上議員維廉京力主助希抗意哥列薩城東北意希肉搏劇戰
page 2	自由法巡艦有一艘被擊沉
page 2	德逐羅蘭法人貝當政府不滿
page 2	意羅兩相會談強調兩國合作
page 2	西國驅逐美記者美使要求解釋據傳因美禁西記者入境
page 2	德瑞商務談判將在瑞典舉行
page 2	雷諾兩副官被判放逐十年
page 2	美商務部宣佈金銀入口統計
page 2	意軍增援開援前線
page 2	意希邊界尚有砲戰
page 2	希軍現正包圍哥加
page 2	希步炮兵全線進攻
page 2	外機七架又炸南國南發高射砲抵禦
page 2	北非洲各線無何變化
page 2	英使對蘇獻議保證不攻蘇聯
page 2	墨西哥灣德輪被焚
page 2	德蘇談判完畢後德外長將赴意求諒解巴本攜方案赴士促士絕對中立蘇報論日美衝突僅為時間問題
page 3	意海軍已減少一半英艦已可抽調赴星
page 3	張自忠靈櫬舉行葬禮
page 3	陳公博又吃一驚
page 3	渝市合作事業積極推進
page 3	滬一日　官被擊重傷
page 3	霑益美教士案中央令促緝兇
page 3	新康報已成立定明年元旦出版
page 3	湘各界熱烈捐款獻機
page 3	張春林忠勇可嘉國府令准減刑
page 3	沙市日倉被焚
page 3	荷人襲攻國社黨內部
page 3	日閥又對美挑戰再擴大東亞秩序範圍高談解放亞洲被壓迫民族包括南洋印度及海洋各島
page 3	瑞昌附近日軍潰敗
page 3	我軍開入欽縣南路軍事告一段落鎮南關外日未盡退
page 3	汎美機展航星加坡英政府已同意原計劃將交民航局研究足反映美決心維護南洋
page 3	泰軍開入越境百餘里傳邊境已發生衝突越南總督聲明誓保領土完整日越經濟預備談判在進行中
page 5	為下年度徵國民兵總抽簽李漢魂發表告民眾書提示五大點希望粵民特別注意抗戰將反守為攻更應努力應徵
page 5	羅翼群報告視導七八區政務經過戰時要政多未達預期進度盼各級長官隨時下鄉督導
page 5	努力進取
page 5	南寧糧足自給
page 5	粵省當局召開糧食會議各區糧運會將改處
page 5	沙魚涌疫漸息貨運恢復原狀
page 5	四六區交通處整飭粵港交通嚴禁僚屬藉端舞弊設告密箱探求民隱
page 5	反守為攻
page 5	中山日軍二萬餘調三灶島島上趕築工事舉行軍事演習白蕉附日軍被我軍三面包圍
page 6	調節鹽糧擬定辦法
page 6	組疏散港澳僑民會
page 6	組考察團深入民間
page 6	省內五區省外二區
page 6	設旌忠局表彰忠烈
page 6	防止日人吸收銅元鎔化我當局提高銅元價值當十銅元一百枚兌法幣一元台山公佈限制攜帶運送鈔票
page 6	台山昨舉行生產會議督促每保或聯保組合作社
page 6	港韶道上寫真
page 6	粵參議會第四次大會議決組織疏散港澳僑民委員會擬具調節糧鹽辦法分請實施招致華僑歸國投資收容失業
page 7	港政府決增設兩醫院利便九龍居民留醫
page 7	第四屆國貨展覽會會場佔地七萬餘方尺規模之大為前三屆所未有大會章程昨日已修正通過
page 7	越南政府復准白米出口領有特許證不加限制
page 7	內河輪船工會昨開會員大會即席選出本屆執委
page 7	石澳山林發現野狗群家犬多頭被咬傷
page 7	居民證明
page 7	入境擔保
page 7	領證手續
page 7	居民會上書輔政司請求改善稱民法例領證費減半按年繳交休戰後撤銷以蘇民困
page 8	施柏堅談
page 8	闢避難區
page 8	秘藏毒劑危害社會摩登女處徒刑四年私藏軍械犯四名亦入獄截劫案三被告兼受笞刑
page 8	秘藏毒藥
page 8	持械行劫
page 8	大源銀業公司獲准買賣國幣
page 8	鴉片再增價應付十焦灼萬分
page 8	港府重訂郵寄年咭辦法
page 8	人才調劑協會港站甄選技工回國服務重慶總會將津貼旅費登記技工採購依期報到
page 8	馬迷大失所望昨日迭爆冷門巴霍足疾未愈被禁出場奧侖奪獲聖列芝賽錦標
page 8	救濟東江難民崇正會今日商討辦法
page 8	六賊夜劫漁家
page 8	禁運三種毒物港政府之佈告
page 8	強盜截劫路人掠現金百餘元
page 8	衛生局之議案
page 8	肯特遺灰運美其夫人月底始返國
page 8	炮兵繼續演習本週操演日期及地點
page 8	澳洲禁華籍傭婦入口昨已照會本港政府
page 8	私藏軍械
page 8	中環等五大區今晨舉行防空演習本匯防空壕挖掘地點已決定防空壕完成後擬再闢避難區
page 10	昨日甲組足球戰事三比一星島挫強師米軍敗在球運不濟九龍淨勝警察一球
page 10	星島力挫米軍
page 10	九龍僅勝警察
