page 1	南洋暴風雨的前夜
page 2	泰軍屢攻越邊法欲談判解決
page 2	日圖威脅荷印大造排日藉口
page 2	日越商務談判改在東京舉行
page 2	越南內部不穩士人暴動紛起
page 2	西沙漠英空軍活動順利
page 2	巴黎學生發生暴動巴黎大學已被封鎖大批學生囚集中營
page 2	烏拉圭下院贊成與美合作建港鳥上議院則曾表示反對
page 2	巴爾幹情勢好轉蘇大使昨訪英外次蘇反對變更巴爾幹現狀土保中立法對德轉強硬
page 2	德對土保證不攻巴爾幹
page 2	法拒德條件決不割兩州
page 2	英化西南某小鎮大受炸擊投下烯燒彈數百枚
page 2	英政府注意坦及爾中立地位訓令駐馬德里英大使調查英大使與西外長交換意見
page 2	槍決大批政治犯後羅國掀起政潮軍隊中全體長官提出辭職羅內閣開緊急會議謀應付
page 2	美政府撥款開發由英租賃之軍事根據地對太平洋根據地問題美海長諾斯不願表示
page 2	德輪一艘被炸沉沒
page 2	法國各地大捕共黨共達六千人
page 2	滇美教士被害案兇手就逮
page 2	河內美領被扣案美已向日抗議
page 2	泰越邊戰雲怒捲柬埔寨邊境衝突擴大泰機開始轟炸越境泰軍司令部通告對法報復英澳已採防衛太平洋步驟
page 3	中央黨政軍領袖會議應付米荒財經內農各部組委員會研究防止屯積米糧問題
page 3	美國準備再貸款於中國美勞工聯合會會議一致議決抵制日貨
page 3	日汪和平明日在寧汪自兼主席軍委長事前曾電重慶作勸告
page 3	滬華籍巡後醞釀罷工目的要求加薪
page 3	美運荷印郵件直運八打威不經港渝等地八小時即到達
page 3	芬蘭糧食被德榨取德限制荷人消費牛油牲口多運德
page 3	美外委會主席表示願考慮英國提議再以島嶼換美軍火日報對英美談判非常注意英議員多質問美禁油運日
page 3	印度洋發現德艦一英商輪被擊沉一部船員被澳洲軍艦救還荷印　局擬變更輪船航線
page 3	地中海英意艦隊發生遭遇戰意軍準備以神秘突擊將向希臘施行總攻勢
page 3	意軍反攻又被擊退
page 3	意軍逃入南國被扣
page 3	瑞典報紙譏意失敗
page 3	美報表示歡迎野村使美
page 3	加扣日輪郵件
page 3	同蒲南端連日激戰我收復皖南至德鄂北鄂中戰事現甚激烈襄河以西日軍陣線搖動
page 5	潿州日軍增至五千
page 5	日對南路未肯放棄
page 5	瓊島日軍趕築公路
page 5	薛司令長官允接濟粵糧食胡銘藻昨公畢返粵
page 5	廣州附市各鄉之浩劫石壁鄉
page 5	第七比港僑抵韶關前五批僑胞已分別安置
page 5	台山大窿崗在積極墾殖中
page 5	韶擴大一日一仙運動在東西河田橋設獻金箱指定撥為購買寒衣之用
page 5	粵西核定鹽價
page 5	廣州灣之近情德古專機曾在　島上空盤旋赤坎商團新兵在積極訓練中
page 5	桂限本年底禁絕煙毒種煙一株亦處極刑
page 5	粵積極修築各公路明年春季將可分別完成改善沙魚涌小路已實行
page 5	欽防籌設軍民合作分站
page 5	香翰屏剿龍河連匪海豐海盜猖獗搶劫拖船私梟武裝運鎢發生激戰
page 5	我機偵察增城
page 5	日對南路之新陰謀轟炸與小股進擾雙管齊下高雷海面日艦突增形勢嚴重瓊島　召集附日份子開會
page 6	寶安日軍野心未戢又在布吉架炮圖威脅平湖我陣地沙魚涌交通已恢復
page 6	籐井赴江開軍事會議江會日軍將續撤退以附日軍接防我游擊隊開入三洲截擊日軍糧艇
