page 1	松岡與格魯的舌戰
page 2	美輿論一致主張盡量助英軍用品
page 2	英爭取軍事勝利叭需要美軍用品
page 2	美航委海財當局會商撥輪船助英
page 2	菲律濱憲法修正案美總統已批准傳一九四二年始得施行但美內部表示並無所聞
page 2	英輪四太子號遇難經過　客船員大癤獲救船長與輪船同殉難
page 2	對坦及爾事件英再向西提堅決抗議工黨議員謂如交涉無成功者請勿忘英尚有煤油供給西國
page 2	希特勒在柏林發表演說內容並未發表
page 2	英空軍炸擊德曼漢及意米蘭前日曲倫各地俱無空襲項行受敵殘害賠償制度
page 2	墨前經濟部次長羅靈被控批准日售絲專利權有損害　國家經濟
page 2	法淪陷區工人為德利用自由區　尚　自主
page 2	美欲窺探魏剛態度駐維十城美參讚現在赴非洲視察
page 2	美將一千萬金元貸與秘魯
page 2	荷挪輪各一艘被德潛艇攻擊
page 2	羅首相兼攝外長職務
page 2	西沙漠英軍續進巴地亞意守軍向都畢勒克退卻巴地亞意軍防線被衝破英意兩軍戰事　在進展
page 2	越泰邊界仍未停止衝突泰空軍炸越境七市鎮雙方砲竟有類兒戲
page 2	日人將現金偷運出國圖利三十餘人被逮下獄
page 2	汪政權宣佈組中準銀行並將發行紙幣
page 2	越代表團抵日
page 2	日報大事鼓吹東亞國聯運動意謂係道義結合目的實在獨新東亞
page 2	滬一日軍用車與巴士車相撞結果日軍用車覆　　日兵五名受重傷
page 2	美國務卿談話本年耶蘇誕後美即強化外交行動大批商船軍艦飛機借英使用貸英軍需共值五十萬萬金元
page 3	意退出德比林尼希馬拉希軍進展
page 3	意軍作戰乏勇氣與上次大戰不同
page 3	法政局情勢混沌海軍堅決再作戰
page 3	我神勇空軍出動向同蒲路炸擊兩列日軍運車被燬又炸安義連城日軍
page 3	新會日軍竄擾受挫
page 3	浙西我軍向日猛襲
page 3	日機分批竄擾湘滇
page 3	滬市嚴寒凍斃者百餘人
page 3	津英租界籌劃增稅方法
page 3	侵華日軍巨頭在滬會議對美政策關於長江下游開放問題野村來華欲探軍人意見
page 3	日美關係愈緊張日美協會祖餞野村宴會中松岡格魯大舌戰國際信義在行動不在衣裝格魯一語破的全場大驚異
page 3	松岡之演詞
page 3	格魯之答辯
page 3	中英文化協會捐款救濟英難民托英大使卡爾轉匯倫敦
page 3	瑞典外長演說斥軸心國所　新秩序瑞典不為所動
page 3	德大軍源源入意集中的里雅斯德港希決心繼續作戰非驅意軍入海誓不中止德軍到後意人將失自由
page 5	調整軍事封鎖廣州
page 5	實行夜運應付日機
page 5	寶安召開冬耕會議
page 5	日機又犯韶市炸戲商店民房百餘日機兩架被我擊落
page 5	市中心區落彈百枚
page 5	積極維護東江交通僱用民伕應按規定價格惠陽設偵緝隊鞏固冬防
page 5	日機兩架被我擊落
page 5	四行聯合辦事處舉辦沿海各省農貸粵省貸款額定一千萬元
page 5	僑胞救濟桂南災民南寧醫院不久可成立省振會救濟越南僑胞
page 5	廣東省銀行設三水辦事處
page 5	中央提高教員薪俸津貼期限暫定為一年
page 5	惠陽蘆苞設工人招待所
page 5	整頓四邑稅捐
page 5	日機炸台海路
page 5	僑委會及教育部公佈僑校立案標準港澳僑校須適合標準方准予立案各地僑校立案亦參照該標準核辦
page 5	廣九路大堂一帶我大軍雲集以雙重陣線封鎖廣州石龍月來港寶貨物運入者已減少寶安縣府召區長開冬耕會談
page 6	提高鄉鎮保甲長地位禁違法拘捕　非禮行為粵　辦法三項通令遵行
page 6	財政部規定洋米免稅辦法
page 6	粵振濟會前月振災成績
page 6	寶安日軍最近動態附日軍三千將來換防
page 6	東江糧食會議議決採辦外米分配救荒購糧基金定三百零六萬元
page 6	桂傷病官兵踴躍捐款獻機
page 6	粵傳染病統計
page 6	韶關增設浮橋普遍挖掘防　蠔
page 6	優待軍人家屬粵四十　縣成立　待會
page 6	日增兵廣州圖再進犯粵北後宮淳數度召開軍事會議我已增調大軍赴前線嚴防
page 7	國貨展覽會場壯麗堂皇富麗不愧國貨長城本月廿二日下午正式開幕
page 7	留澳英婦孺未准返港反對疏散委會呈文被駁回
page 7	中青救護團定期演劇籌款覺先劇團義演血海花
page 7	立法財政兩委會會議追撥防空建設費案通過
page 7	利用防空棚收容露宿貧民居民聯會向當局建議
page 7	商會推行節儲運動力勸同人踴躍購券
page 7	學生救濟會發起耶誕節約運動節省糜費救濟貧苦學生
page 7	模型飛機協會二次理事會議
page 7	張丹女士畫展昨日正式開幕
page 7	港外發現水雷
page 7	粵省府計劃修理港韶公路茜坑至沙魚涌闢雙線預算明年春間可竣工
page 7	港府委出兩專員嚴官稽查米行售價倘有濫索決予重罰不貸零售米店被控又有多間
page 8	商會將代同人領證
page 8	星洲華僑來港辦法
page 8	傳代領證處將停閉
page 8	人才調協港站考取技工揭曉七十九人合格
page 8	許崇智昨抵港
page 8	名人墨蹟展覽自唐至清凡數十家篆隸真墓各體均備
page 8	遠東航空學校請蔣夫人演講
page 8	公煙分銷處前無賴據地勒索警探拘捕疑犯多人
page 8	警探搜捕善棍拘獲疑犯十人
page 8	華南兒童教養會在港建院收容難童擬募五萬元為經費昨函各界人士呼籲
page 8	今冬時症減少衛生當局防範得宜
page 8	保衛團員開始受訓三星期後即可出勤中區團隊趕速成立
page 8	貨船聯航防盜並請港府發給自衛槍械
page 8	劫艇疑犯提堂
page 8	三次行使偽幣三男女事敗被控
page 8	百元紙幣
page 8	交卦號費
page 8	亦非我者
page 8	商會昨呈請港府展期施行移民法例當局體念商情或能批該會決代同人領取證書
page 10	港澳乒乓義賽娘子軍打頭陣今夕八時會師健身室胡木蘭主持開球典禮
page 10	南華陸運大會參加人數甚眾
page 10	港九校際乒乓賽今夕兩場戰事青支會舉辦團友乓兵賽
page 10	學生會操競賽九龍區昨舉行港區今日競技
page 10	學界籃球戰訊
