page 1	統一軍政的必要
page 2	菲國防由美執行奎松已不表反對
page 2	泰越邊又起砲戰法仍望談判解決
page 2	越南自由獨立黨在泰境設立機關
page 2	日海軍昨又宣布擴大華南封鎖線
page 2	德機大舉炸擊孟者士打城投下炸彈及燃燒彈數千枚利物浦被炸擊情形甚猛烈
page 2	芬閣辭職
page 2	又有德軍開入羅國
page 2	外國飛機炸擊瑞士破壞瑞士領空界
page 2	美政府擬要求國會取銷中立法案俾美輪得運載貨物　英及授權許接收被扣外輪
page 2	野村與本多啟程來華
page 2	賀年信簽名大會渝各界舉行
page 2	第二屆國民參政員名單中央為博攬人才起見總額增至二月四十名
page 2	滬又發生兩槍殺案一為滬日領館警察一為　警局課長
page 2	日泰商輪決經西貢海防
page 2	吳部長抵檳城
page 2	菲僑代表晉謁林蔣致敬
page 2	中樞紀念週陳樹人報告道德救國
page 2	英在澳洲實施航輪領證制度在使無證明書之日艦無法獲得必要供給品
page 2	南洋風雲日緊英美各努力增防英大軍開抵星加坡包括大批陸空軍及機砲隊美巡洋艦一艘開抵岷尼拉
page 3	英意雙方各增援巴地亞展開血戰
page 3	希軍越過希馬拉前鋒進逼華倫納
page 3	希軍三路圍意軍意機十八架墮毀
page 3	豫省積極改良農業
page 3	邱吉爾定期廣播
page 3	蘇向羅要求停止反蘇活動
page 3	巴黎各大學曾被德軍封閉
page 3	英新任駐美大使哈里法斯赴任有期艾登新外相昨日已就職美朝野認此足增強合作
page 3	英美朝野均慶得人
page 3	楊全宇伏法續詳軍委會通電宣佈罪狀
page 3	張書旂繡製百鳥圖贈美羅斯福賀三屆連任
page 3	日軍事代表團出發赴德
page 3	陳立夫視察樂山教育
page 3	贛北我軍襲擊十里舖攻入鎮內焚燬日倉庫
page 3	德法關係又緊張貝當元帥堅持法決不助德作戰德軍不退貝當決不返巴黎巴黎市民公然撕毀德標語
page 5	台山私梟與稅警激戰私船兩艘先後被擊沉縣府派團警協助搜捕
page 5	桂成立冬賑會
page 5	石岐市況漸盛後私賭乘機開設
page 5	博羅長寧墟漸復舊觀游擊隊林部保護得力
page 5	嚴密封鎖三水淪陷區並嚴禁官兵營私舞弊已佈告民眾據實密報
page 5	粵禁抬高油價
page 5	新運會籌辦傷兵普通營養
page 5	梅縣籌設銀行
page 5	粵審計處實施稽察辦法
page 5	粵省振濟會增訂義民回國登記辦法物價日增提高義民每月膳費義民欲離韶市亦可津貼旅費
page 5	潮汕日軍最近又圖蠢動我軍事當局已嚴防日機連日出擾登崗
page 5	粵動員民眾配合黨政推進全省軍民合作事業成立軍民合作站百餘處
page 5	取締沒收新兵財物戰區省府奉令飭屬禁誡
page 5	游擊隊襲滘頭江門交通停頓中順番義勇團隊合組抗日團中山日艦蠢動三澳貨運又停
page 6	我襲羅湖海關奏捷
page 6	葵涌茜坑被炸情形
page 6	粵府懲辦紫金失職人員
page 6	廣東各界元旦勞軍辦法
page 6	桂學生軍成立四週年在前線舉行盛大紀念
page 6	四邑加強運輸力量編組單車隊搭客載貨
page 6	粵加強各縣糧食管理省務會議通過縣糧管會組織章程參議會將請胡銘藻報告糧食問題
page 6	省征募會催繳寒衣代金限十二月底清繳
page 6	桂省集訓黨務工作人員
page 6	調劑傷兵生活梅縣兵站醫院設俱樂部
page 6	東江匪劫歸僑
page 6	柳州追悼桂南陣亡將士並募款建紀念碑
page 6	寶安日軍繼續撤退我便衣隊襲羅湖海關日兵被我盡殲國旗飄揚於山巔日機昨又炸葵涌茜坑淡水等地
page 7	數月同居突然反目失業少年刺傷戀人行兇後被警察捕獲初級法庭昨日提審
page 7	模型飛機協會徵求會員辦法理事會昨日已決定
page 7	國貨展覽第二日中西觀客擠滿會場由今日起延長展覽時間正午十二時至夜十二時
page 7	延長時間
page 7	偽幣購券
page 7	堅尼地道男女同遊遇賊事主機警厲聲呼救英兵追捕兩賊被擒
page 7	播音宣傳
page 7	斷族復興節僑校開會紀念
page 7	菲澳日僑撤退八十名過港返國
page 7	警當局通緝失事汽車御者
page 7	日機狂炸葵涌後港韶客商改夜間運貨葵涌一帶傷難載途亟待救濟果販救護團一團員受傷返港
page 8	數十間零售店被罰
page 8	暹越米石源源到港
page 8	印刷業工會新職員將就職
page 8	羅明佑將南渡調整國片事業
page 8	歷代名家法書展會參觀記
page 8	粉嶺賽馬提前發售車票
page 8	港澳貨運激增
page 8	移民法展期執行港府在考慮中商人請求可　接納
page 8	繪畫比賽揭曉鑰智學生鄭朝穩冠軍
page 8	運危險品法例一部份停止執行
page 8	莊士敦道保衛團長選出
page 8	舞院發生打架
page 8	昨日天氣奇暖溫度升至七十六
page 8	買馬票遇神棍商人損失數百元騙匪卒被捕入獄
page 8	中華電力公司股東週年大會通過溢利支配辦法
page 8	劫燈塔案開審
page 8	聖誕假期郵局辦公時間
page 8	車輛與自衛鎗限期換領新照
page 8	難童送韶教養三百　人將出發
page 8	米石來源充裕市民渴望重訂售價數十間零售店違統制令證據確鑿法庭分別處罰
page 10	港滬埠際賽難實現總會下週會議編排新春足球秩序元旦義賽西聯有陣
page 10	港九學生大會操明日舉行
page 10	體協會陸運預賽成績
page 10	四屆德權鼎定廿九日頒獎
page 10	學界籃球戰績
page 10	南華會旅行消息
page 10	記者今日戰黑星
