page 1	德軍出動援意果實現
page 2	英艦隊集中馬爾他意空軍襲擊哥府島
page 2	里比亞意軍謀突圍那畢勒英機再空襲
page 2	希軍光復希馬拉意軍敗走華倫納
page 2	軍委會發表一週戰況自十五日到二十一日
page 2	美金融界欲確定貿易政策以適應戰爭發展
page 2	貝當擬變更法國政體指派議員組參政會為過渡辦法十九個市政委員會被停止職權
page 2	英皇發表聖誕演說勗國人互相友愛發揚其勇敢精神
page 2	英商務代表團離烏拉圭瀕行發告別書感謝烏人款待
page 2	英美兩海相互贈聖誕禮物表示兩國艦隊精神一致美更感謝英艦改名林肯
page 2	耶誕節日泰越邊砲戰終日不停泰總理談必須收回全部失地形勢險惡時泰決心不辭一戰
page 2	泰欲收回全部失地
page 2	英泰關係絕對　和
page 2	愛爾蘭首相向美廣播請美售糧械與愛
page 2	英德耶誕休戰默契繼續到第二夜倫敦居民未受警報騷擾英空軍亦未有炸擊德意
page 2	德軍出動援意機械化部隊三十萬人經匈邊開羅馬尼亞先　部隊開入保境保王表示反對南斯拉夫首相言決維持善鄰中立
page 3	美海軍擴充後軍艦逾六百艘
page 3	皖北我軍掃蕩殘日克宿縣白沙集等據點綏西安北以西地區戰事激烈鄂中荊門東北日軍犯擾被擊
page 3	駐南京日大使本多抵滬將轉道赴寧就職
page 3	滬兩租界評定米價
page 3	桂南糧食不成問題
page 3	洛陽節約會禁燙髮著高跟鞋
page 3	假如日美作戰二
page 3	東方文化研究社招待陪都各界近擬改組為東方文化協會郭春濤報告過去工作概況
page 3	日國會舉行二十七屆會議日學親臨主持開幕
page 3	蔣委長獎勵鍾石磐部
page 3	日要求滬工部局董事會增日代表名額發表一長篇宣言
page 3	滬發生槍殺案
page 3	英輪伊華列號被德潛艇追擊
page 3	法機載一要人飛赴直布羅陀被西　高射砲擊落
page 3	滬大華舞廳打架案美意水兵受傷廿五人武裝巡捕到場彈壓事始寢息意向美道歉並賠償舞院損失
page 3	意輪加里尼號在滬被日扣留謂其未領通過證
page 3	美防衛加勒賓海南端決向法屬馬田尼格島租海空軍根據地美海軍界著眼佛蘭西砲台港維士政府已先表示斷然拒絕
page 5	粵北我軍嚴密戒備
page 5	廣州日軍一部出海
page 5	粵游擊區生產貸款辦法省行撥款一百萬元芬貸惠陽等十五縣
page 5	東華院匯款救桂災民桂商鄧時和捐贈棉衣
page 5	深圳日軍撤退農民乘機收割我團隊保護運輸出口
page 5	中順游擊隊潘部改編近訊
page 5	粵省緝私成績本年緝獲私貨百餘萬
page 5	合浦當局召開金融會議議決維持金融辦法多項
page 5	南路各縣匪盜披猖竟欲圖劫高州幸事先破獲
page 5	高州兵匪之大激戰
page 5	通令切實辦理冬防
page 5	台山空襲血賑
page 5	日軍圖犯粵北聲中我大軍由韶南下已抵目的地某精銳部隊亦由桂調駐四邑廣州及各縣日軍分佈之調查
page 6	徐聞沿海安謐如常
page 6	日機又炸防城東興
page 6	粵省農運成績良好粵北豐收民食無虞李主席採購湘米救濟南路糧荒粵省府頒行獎勵購運洋米辦法
page 6	大批湘米將抵粵南
page 6	粵府獎勵購運洋米
page 6	粵糧食管理局統制東行車輛運米戰區長官部核定辦法規定車價及載重數量
page 6	欽縣組善後委員會
page 6	順德水藤楊滘上下三鄉患盜
page 6	粵貿易處進行選購土產運銷省外擬定明年擴大營業計劃
page 6	贛省接濟鄰省民食
page 6	生活程度高漲中台山救濟教師生活每員補助薪額三分之一或行學米制向學生征米
page 6	鄭豐等抵遂溪
page 6	廣州市柴荒匪盜棺木鄉民作護墳運動
page 6	廣州灣重征營業稅商人開會聯請減低女戰士影片又遭禁影米價高漲紳商請速維持
page 6	當局規定應繳數額
page 6	租界米荒情勢嚴重
page 6	電油缺乏車輛加價
page 6	日又向越提出新要求我政府對此已有對策
page 6	日兵迭犯徐聞不逞陽電沿岸時被日艦發炮騷擾日機炸防城東興損失之調查
page 7	來源充裕市價續跌
page 7	港府將訂較廉售價
page 7	擬具計劃救濟柴荒
page 7	交戰國搜羅運輸工具中立國商船出賃一空數百噸船月租亦四五萬金本港造船廠工作極為忙碌
page 7	中立國船行走港越
page 7	本港造船業極旺盛
page 7	各僑團募款捐衣成績約得國幣三十萬元去月已匯出十五萬
page 7	僑胞購銷節儲券已達八百萬元十餘團體尚在商購中短期內可望超過千萬
page 7	代督岳桐再參觀貨展會
page 7	四邑交通無阻澳門來客談
page 7	九江中學將追悼陳屈伸
page 7	汽油來源充裕　車限制用油不致過嚴
page 7	海盜又截劫兩貨艇貨主與賊抗被轟斃兩艇損失值萬餘元
page 7	馬京
page 7	九針島
page 7	安暹新米大量到港統制局將訂較廉售價零售商亦認可降價沽出昨日行貨較前日跌一元
page 8	嫁後兩日來港小居
page 8	突然興感躍樓而死
page 8	無賴乘機搶掠金飾
page 8	百步梯口獲一疑犯
page 8	鯊魚涌災區視察記
page 8	深夜聞怪聲印人驚墮海中榜人馳救不致溺斃
page 8	省振會振濟廣九路工
page 8	一仙輔幣短絀商人找贖極感困難
page 8	粉嶺馬票昨日開彩首名二五六九七號得獎金二萬六千元
page 8	鄭國有求赦本港開埠百年紀念鄭家認為最好機會
page 8	施博群等赴美純係考察性質周作民對記者之談話
page 8	港九各義學來春增加學額大量收容失學兒童
page 8	梁定慧昨返港報告西行經過
page 8	耶誕節約運動各校紛紛響應
page 8	棚廠一間被焚
page 8	三賊截劫兩童
page 8	市虎噬死婦人
page 8	本港學生籌組文藝協會短期內可正式成立
page 8	勒索案昨提堂
page 8	金屋　營人已死逆旅中新嫁娘跳樓手上金飾燦然無賴爭相奪取夫婿徹夜不歸警探尋問真相
page 10	國際杯第英軍獲決賽權三比一　葡萄牙力抗敗績
page 10	游泳健將李羅敏突病逝
page 10	昨日學界籃球賽中級廣大擊敗八桂初級西南輕取工業今日中初級各一場
