page 1	徘徊歧路的法國
page 2	貝當態度強硬堅拒德國要求
page 2	法測德再攻英在二月或五月
page 2	德大軍入羅境侵南國說不確
page 2	泰軍曾衝入柬埔寨南境界日泰均傳泰越頻有空戰越督戴古謂此消息不確
page 2	正金渣華兩銀行簽訂協定日與荷印貿易支付俱以記賬形式過付
page 2	遠東美婦孺過半遵令撤退
page 2	鄂南日軍被殲百餘
page 2	皖北日軍蠢動受創
page 2	鄂中日軍竄犯不逞
page 2	贛北日軍被殲數百
page 2	豫北我軍攻佔朱莊進迫　陽晉南日軍千餘犯茅津渡不逞沁水以南我軍向日襲擊獲勝
page 2	澳洲海長抵新加坡
page 2	殷芝齡被綁脫險
page 2	重慶舉行文藝演講大會郭沫若致開會詞
page 2	英商船隊在大西洋遇敵護航艦與之交戰德艦中部被　擊
page 2	豫省府令各縣津貼教師米穀
page 2	陳慶雲謁委座述職報告赴美經過
page 2	湘北日軍出犯不逞
page 2	滬郊我軍極　活躍
page 2	某軍事專家談話斥日方虛妄之宣傳前後矛盾令人聞之捧腹
page 2	黔新任民廳長定期視事
page 2	郭沫若舊體詩一首為參觀賀展會
page 2	希軍續有進展擊沉意艦三艘
page 2	英機東非活躍意據點受重傷
page 2	法德關係醞釀變化貝當與閣僚徹夜開會傳德對法提反要求法政府備準遷非繼續抵抗哥里廣播勸法人再執武器
page 3	羅斯福將發談話內容將轟動全國
page 3	美艦護航赴愛南德宣言將予擊沉
page 3	英空軍大舉出動炸擊法海岸各港口沿海天空滿佈鐵烏縱橫飛翔英倫西南某小鎮亦被德猛炸
page 3	英報著論感謝我國同情
page 3	美國防部否認缺鋁飛機生產無影響
page 3	顏露爾病愈返華盛頓
page 3	美記者之怪論謂日　有諒解可能
page 3	意政府嚴厲統制物價破壞者處極刑
page 3	法已商務談判先交換意見
page 3	英西談判坦及爾問題相信進行順利
page 3	美政府將提複預算案國防費一百萬萬普通政費約七八十萬萬預算龐大將為最高紀錄
page 3	在美華輪廣元號易主賣於昔尼航業家將航行南太平洋
page 3	從經濟觀點剖視日本南進政策
page 3	羅斯福昨晚對報界發表驚動全國談話孤立派再提不參戰主張第一軍團司令移駐檀島
page 5	粵動員工作普遍開展積極訓練幹部人員健全機構協助推行新制擴大軍民合作
page 5	動員機構
page 5	攷查免緩役壯丁辦法懸示照片或身世任人檢舉縣市府切實調查適齡男子
page 5	粵省府公佈運米損失補償辦法意外損失由省縣補償八成因米價低落虧損亦予償給
page 5	文化人員在戰區內活動須經中央批准
page 5	日炸惠陽五華
page 5	東江厲行酒禁
page 5	附日軍三千餘調集深圳訓練所存日軍不滿千人
page 5	粵積極收容義民兒童多來自游擊區及港澳收容兒童亦達六千餘
page 5	工作概況
page 5	韶興路修量將完竣擬增闢河源至燈塔段
page 5	政工人員
page 5	幹部訓練
page 5	後宮淳昨抵北線視察陣地寺內南來傳攜有新計劃廣州日軍又施行局部戒嚴
page 6	供銷問題
page 6	採購辦法
page 6	中山縣長視察八區災情
page 6	高明楊梅墟伕役發生問題
page 6	陳涌封鎖線已撤銷新輪渡來往三埠澳門
page 6	瓊島日軍　集陸國逾十萬機千架大小日艦約數百艘
page 6	軍委會頒發戰時土地權利處理法證件書　　一律無效
page 6	各縣節儲踴躍
page 6	河南之暗殺案
page 6	桂確定運輸線
page 6	三埠商人分赴鄰縣購米米商合作　舉行公賣
page 6	兩個被俘虜的日兵他說日本人民反對軍
page 6	加強鹽運交換米糧粵省鹽斤盡量開放以商運為本准商人搶運競銷重訂採購辦法杜絕奸商操縱
page 7	起火地點
page 7	交通被阻
page 7	損失統計
page 7	印刷商會會員大會謀徹底解決勞資糾紛津貼宿費一節維持原議特別工作條款增加附註
page 7	本港商人趕辦爆竹應市港灣爆竹業漸復興
page 7	港府擬設街童學校強迫兒童入學肆業
page 7	佛山輪明日開赴廣州
page 7	中英文化協會週年紀念聚餐代督與蔣夫人亦將參加
page 7	購私煙得清水　君子遇騙
page 7	沙魚涌海盜劫艇擄人兩榜人被鎗傷來港求醫獨牛洋亦有兩艇遭劫
page 7	本港移民局在澳設辦事處明年元旦開始發證
page 7	劫艇擄人
page 7	縱火焚船
page 7	長洲大澳竟成通商口岸貨　往來如梳
page 7	新界農品展覽明年決定停辦
page 7	米柴突然自焚上環雜貨店一間被燬全部貨物化為灰燼損失頗重店員幸獲無恙亦未殃及鄰戶
page 8	僑胞準備迎接勝利年各大僑團決元旦開慶祝會書畫文學社舉辦書畫展覽
page 8	僑團學校開會慶祝
page 8	書畫社書畫展覽會
page 8	高等學堂同學聯歡
page 8	深水　小販分會成立週年紀念劉景清提議多辦義學
page 8	代督在港休養昨日未赴粉嶺
page 8	僑團募衣運動決本年底結束
page 8	技術人員歸國百餘名下月首途
page 8	周半俠昨抵港將赴潮梅視察難童狀況
page 8	鐵業工商總會昨舉行成立禮
page 8	婦慰會募捐訊
page 8	印人飲彈自殺彈中頭顱慘死
page 8	市虎噬傷老翁
page 8	除舊更新燈號
page 8	街坊保衛團月內仍難出勤吳澤華之談話
page 8	我駐菲領事請當地政府准我難民入口純係出於人道主義非關任何法律問題
page 8	國展會第八日觀客更為擠擁
page 8	柴商營業牌照延長有效期限
page 8	滬新華機器廠出品運港展覽國展會中生色不少
page 8	孔教學院講學
page 8	三善院規定殮房喪物價格巫庄與長生店須遵辦
page 8	市美同學聯歡
page 8	怎樣改進我國工業陳輔國在國展會一席話
page 8	貸款商人辦米各大銀行表示贊成南北行米商亦樂意接受認係平抑米價最善辦法
page 10	港記者球隊元旦征澳比賽秩序接洽圓滿小型球隊今日操練
page 10	南華週年陸運成績一萬公尺李玉峰倒群雄千六公尺接力南華獲首各
page 10	仿林隊榮膺女子排球冠軍三比二挫南華
page 10	校際小型球賽今日舉行頒獎
page 10	開
page 10	易
page 10	全部秩序擬定
page 10	四屆德權鼎聯賽昨日舉行頒獎表演賽聯隊勝利冠軍
page 10	加緊秣馬厲兵
page 10	甲組足球獨幕劇星島輕取光華上下半時均進兩球四比零戰情一而倒
