page 1	舊東北軍東調後人事經理?育諸端均改直隸中央
page 2	九龍關發出入口証留港米舴今日開行九龍關陸續發出入口証廣州粵海關己發出洋米免稅入口証省方米商由前日廿七日
page 2	香港飛剪號今晨返菲
page 2	曾養甫今晨過港飛京
page 2	時人行?
page 2	干諾道中男子跳樓斃命
page 2	男子深夜被刺傷
page 2	圖騙鐵閘判入獄
page 2	積案匪犯被判入獄十二月
page 2	上海經濟特電
page 2	二號巴士路?下月增設二等位
page 2	浦東城隍結婚
page 2	津政府嚴禁私賣國土
page 2	孫宋五日南下
page 2	西國婦人一胎七兒
page 2	西政府軍放棄杜蘭戈城
page 2	國際要聞縮輯
page 2	普陀和尚受軍訓
page 3	烏衣外史一五零
page 3	廣州三鏡別傳十二
page 3	梅縣二壯士別紀七二
page 3	趣聯
page 3	日本模仿我國種種
page 3	糊塗先生廿二
page 4	朱紹良土甘與西北
page 4	國大組織選舉法修訂後粵職業候選人心灰意冷
page 4	廣九籌開專車運米
page 4	河南沙園?苦力夜行被槍傷
page 4	呈請短期結婚
page 4	懲治奸夫挖自斫足之慘案
page 4	吳主席巡視警察局
page 4	?食會改組後省府決嚴究已往失職人員
